size,model,embedding,tissue,seed,shuffled,acc,precision,recall,f1
small,mlp,NT,Esophagus_Mucosa,17,no,0.574,0.0,0.0,0.0
small,cnn,NT,Esophagus_Mucosa,17,no,0.404,0.382,0.65,0.481
small,rnn,NT,Esophagus_Mucosa,17,no,0.489,0.433,0.65,0.52
middle,mlp,NT,Esophagus_Mucosa,17,no,0.466,0.618,0.538,0.575
middle,cnn,NT,Esophagus_Mucosa,17,no,0.603,0.654,0.872,0.747
middle,rnn,NT,Esophagus_Mucosa,17,no,0.345,0.52,0.333,0.406
large,mlp,NT,Esophagus_Mucosa,17,no,0.513,0.479,0.657,0.554
large,cnn,NT,Esophagus_Mucosa,17,no,0.513,0.477,0.6,0.532
large,rnn,NT,Esophagus_Mucosa,17,no,0.434,0.423,0.629,0.506
small,mlp,NT,Esophagus_Mucosa,510,no,0.574,0.0,0.0,0.0
small,cnn,NT,Esophagus_Mucosa,510,no,0.383,0.364,0.6,0.453
small,rnn,NT,Esophagus_Mucosa,510,no,0.447,0.4,0.6,0.48
middle,mlp,NT,Esophagus_Mucosa,510,no,0.345,0.556,0.128,0.208
middle,cnn,NT,Esophagus_Mucosa,510,no,0.672,0.672,1.0,0.804
middle,rnn,NT,Esophagus_Mucosa,510,no,0.466,0.625,0.513,0.563
large,mlp,NT,Esophagus_Mucosa,510,no,0.539,0.5,0.8,0.615
large,cnn,NT,Esophagus_Mucosa,510,no,0.395,0.388,0.543,0.452
large,rnn,NT,Esophagus_Mucosa,510,no,0.447,0.451,0.914,0.604
small,mlp,NT,Esophagus_Mucosa,1030,no,0.574,0.0,0.0,0.0
small,cnn,NT,Esophagus_Mucosa,1030,no,0.447,0.435,1.0,0.606
small,rnn,NT,Esophagus_Mucosa,1030,no,0.511,0.421,0.4,0.41
middle,mlp,NT,Esophagus_Mucosa,1030,no,0.328,0.0,0.0,0.0
middle,cnn,NT,Esophagus_Mucosa,1030,no,0.655,0.667,0.974,0.792
middle,rnn,NT,Esophagus_Mucosa,1030,no,0.638,0.696,0.821,0.753
large,mlp,NT,Esophagus_Mucosa,1030,no,0.461,0.461,1.0,0.631
large,cnn,NT,Esophagus_Mucosa,1030,no,0.447,0.426,0.571,0.488
large,rnn,NT,Esophagus_Mucosa,1030,no,0.513,0.486,0.971,0.648
small,mlp,NT,Heart_Left_Ventricle,17,no,0.421,0.5,0.182,0.267
small,cnn,NT,Heart_Left_Ventricle,17,no,0.474,0.571,0.364,0.444
small,rnn,NT,Heart_Left_Ventricle,17,no,0.579,0.636,0.636,0.636
middle,mlp,NT,Heart_Left_Ventricle,17,no,0.433,0.0,0.0,0.0
