size,model,embedding,tissue,seed,shuffled,acc,precision,recall,f1
large,transformer,hyena,Esophagus_Mucosa,17,yes,0.5555555555555556,0.5846883468834688,0.5555555555555556,0.5617283950617284
middle,transformer,hyena,Nerve_Tibial,1024,yes,0.6470588235294118,0.6469562541668803,0.6470588235294118,0.6464460784313725
small,transformer,hyena,Heart_Left_Ventricle,1024,yes,0.56,0.52,0.56,0.518095238095238
small,transformer,hyena,Nerve_Tibial,17,yes,0.6739130434782609,0.675477602108037,0.6739130434782609,0.6743773343513341
middle,transformer,hyena,Nerve_Tibial,17,yes,0.6470588235294118,0.6814195599774348,0.6470588235294118,0.6501225490196078
small,transformer,hyena,Esophagus_Mucosa,510,yes,0.6744186046511628,0.6794523306151213,0.6744186046511628,0.6754802831142568
large,transformer,hyena,Heart_Left_Ventricle,510,yes,0.5,0.5,0.5,0.4598214285714285
large,transformer,hyena,Nerve_Tibial,1024,yes,0.6283185840707964,0.6292950869697894,0.6283185840707964,0.6286102361548589
small,transformer,hyena,Nerve_Tibial,510,yes,0.5652173913043478,0.5705685618729097,0.5652173913043478,0.5635704874835309
middle,transformer,hyena,Heart_Left_Ventricle,1024,yes,0.6538461538461539,0.657051282051282,0.6538461538461539,0.627666451195863
middle,transformer,hyena,Esophagus_Mucosa,1024,yes,0.5384615384615384,0.5587590819974628,0.5384615384615384,0.5455512229705778
large,transformer,hyena,Heart_Left_Ventricle,17,yes,0.7045454545454546,0.4963842975206612,0.7045454545454546,0.5824242424242424
small,transformer,hyena,Nerve_Tibial,1024,yes,0.6086956521739131,0.6086956521739131,0.6086956521739131,0.6086956521739131
large,transformer,hyena,Nerve_Tibial,510,yes,0.6194690265486725,0.6300379266750948,0.6194690265486725,0.6188131956504407
middle,transformer,hyena,Nerve_Tibial,510,yes,0.6470588235294118,0.6475694444444444,0.6470588235294118,0.6467532467532467
large,transformer,hyena,Nerve_Tibial,17,yes,0.672566371681416,0.6762259631379333,0.672566371681416,0.6730798722355109
middle,transformer,hyena,Heart_Left_Ventricle,17,yes,0.7307692307692307,0.7836538461538461,0.7307692307692307,0.7287749287749287
middle,transformer,hyena,Esophagus_Mucosa,510,yes,0.6923076923076923,0.6987660016145774,0.6923076923076923,0.6913960113960115
large,transformer,hyena,Esophagus_Mucosa,1024,yes,0.4691358024691358,0.5062031728698396,0.4691358024691358,0.4754817652901945
small,transformer,hyena,Esophagus_Mucosa,1024,yes,0.6511627906976745,0.722659511031604,0.6511627906976745,0.6384638078990238
middle,transformer,hyena,Heart_Left_Ventricle,510,yes,0.6923076923076923,0.6932692307692307,0.6923076923076923,0.6885780885780886
small,transformer,hyena,Esophagus_Mucosa,17,yes,0.5116279069767442,0.540033222591362,0.5116279069767442,0.5020363110417538
large,transformer,hyena,Heart_Left_Ventricle,1024,yes,0.6136363636363636,0.766384778012685,0.6136363636363636,0.488384994105818
small,transformer,hyena,Heart_Left_Ventricle,17,yes,0.68,0.7044444444444444,0.68,0.6737662337662337
small,transformer,hyena,Heart_Left_Ventricle,510,yes,0.6,0.6982456140350877,0.6,0.5733333333333333
middle,transformer,hyena,Esophagus_Mucosa,17,yes,0.6923076923076923,0.6987660016145774,0.6923076923076923,0.6913960113960115
large,transformer,hyena,Esophagus_Mucosa,510,yes,0.6172839506172839,0.6240012268997777,0.6172839506172839,0.6198093353893301
large,transformer,hyena,Esophagus_Mucosa,17,no,0.5657894736842105,0.5714546783625731,0.5657894736842105,0.5661654135338345
middle,transformer,hyena,Nerve_Tibial,1024,no,0.5151515151515151,0.5452214452214452,0.5151515151515151,0.5124777183600714
small,transformer,hyena,Heart_Left_Ventricle,1024,no,0.631578947368421,0.7748538011695907,0.631578947368421,0.5327687033676145
small,transformer,hyena,Nerve_Tibial,17,no,0.490566037735849,0.4893355209187859,0.490566037735849,0.4883772774253693
middle,transformer,hyena,Nerve_Tibial,17,no,0.5909090909090909,0.6082111436950146,0.5909090909090909,0.5928853754940712
small,transformer,hyena,Esophagus_Mucosa,510,no,0.6170212765957447,0.6301264261486278,0.6170212765957447,0.619110251450677
large,transformer,hyena,Heart_Left_Ventricle,510,no,0.6,0.36,0.6,0.45
large,transformer,hyena,Nerve_Tibial,1024,no,0.5773195876288659,0.5800438692695766,0.5773195876288659,0.5781313071874576
small,transformer,hyena,Nerve_Tibial,510,no,0.5094339622641509,0.5087833441769681,0.5094339622641509,0.5083827493261455
middle,transformer,hyena,Heart_Left_Ventricle,1024,no,0.5666666666666667,0.562962962962963,0.5666666666666667,0.5641904761904761
middle,transformer,hyena,Esophagus_Mucosa,1024,no,0.5,0.578125,0.5,0.5137254901960785
large,transformer,hyena,Heart_Left_Ventricle,17,no,0.5,0.554945054945055,0.5,0.493734335839599
small,transformer,hyena,Nerve_Tibial,1024,no,0.5283018867924528,0.5275999550763701,0.5283018867924528,0.5231987698085991
large,transformer,hyena,Nerve_Tibial,510,no,0.5773195876288659,0.5821849358300022,0.5773195876288659,0.5782195778606792
middle,transformer,hyena,Nerve_Tibial,510,no,0.5909090909090909,0.6023875114784206,0.5909090909090909,0.5932705022984402
large,transformer,hyena,Nerve_Tibial,17,no,0.5773195876288659,0.5821849358300022,0.5773195876288659,0.5782195778606792
