size,model,embedding,tissue,seed,shuffled,acc,precision,recall,f1
small,mlp,dnabert2,Esophagus_Mucosa,17,no,0.404,0.367,0.55,0.44
small,cnn,dnabert2,Esophagus_Mucosa,17,no,0.574,0.5,0.05,0.091
small,rnn,dnabert2,Esophagus_Mucosa,17,no,0.447,0.435,1.0,0.606
middle,mlp,dnabert2,Esophagus_Mucosa,17,no,0.362,0.75,0.077,0.14
middle,cnn,dnabert2,Esophagus_Mucosa,17,no,0.672,0.672,1.0,0.804
middle,rnn,dnabert2,Esophagus_Mucosa,17,no,0.603,0.711,0.692,0.701
large,mlp,dnabert2,Esophagus_Mucosa,17,no,0.447,0.451,0.914,0.604
large,cnn,dnabert2,Esophagus_Mucosa,17,no,0.461,0.453,0.829,0.586
large,rnn,dnabert2,Esophagus_Mucosa,17,no,0.461,0.456,0.886,0.602
small,mlp,dnabert2,Esophagus_Mucosa,510,no,0.574,0.0,0.0,0.0
small,cnn,dnabert2,Esophagus_Mucosa,510,no,0.383,0.371,0.65,0.473
small,rnn,dnabert2,Esophagus_Mucosa,510,no,0.426,0.419,0.9,0.571
middle,mlp,dnabert2,Esophagus_Mucosa,510,no,0.362,0.75,0.077,0.14
middle,cnn,dnabert2,Esophagus_Mucosa,510,no,0.655,0.788,0.667,0.722
middle,rnn,dnabert2,Esophagus_Mucosa,510,no,0.603,0.767,0.59,0.667
large,mlp,dnabert2,Esophagus_Mucosa,510,no,0.461,0.461,1.0,0.631
large,cnn,dnabert2,Esophagus_Mucosa,510,no,0.434,0.42,0.6,0.494
large,rnn,dnabert2,Esophagus_Mucosa,510,no,0.474,0.456,0.743,0.565
small,mlp,dnabert2,Esophagus_Mucosa,1030,no,0.404,0.1,0.05,0.067
small,cnn,dnabert2,Esophagus_Mucosa,1030,no,0.574,0.0,0.0,0.0
small,rnn,dnabert2,Esophagus_Mucosa,1030,no,0.447,0.435,1.0,0.606
middle,mlp,dnabert2,Esophagus_Mucosa,1030,no,0.328,0.0,0.0,0.0
middle,cnn,dnabert2,Esophagus_Mucosa,1030,no,0.672,0.672,1.0,0.804
middle,rnn,dnabert2,Esophagus_Mucosa,1030,no,0.69,0.723,0.872,0.791
large,mlp,dnabert2,Esophagus_Mucosa,1030,no,0.487,0.438,0.4,0.418
large,cnn,dnabert2,Esophagus_Mucosa,1030,no,0.461,0.461,1.0,0.631
large,rnn,dnabert2,Esophagus_Mucosa,1030,no,0.461,0.461,1.0,0.631
small,mlp,dnabert2,Heart_Left_Ventricle,17,no,0.579,0.579,1.0,0.733
small,cnn,dnabert2,Heart_Left_Ventricle,17,no,0.579,0.579,1.0,0.733
small,rnn,dnabert2,Heart_Left_Ventricle,17,no,0.632,0.643,0.818,0.72
middle,mlp,dnabert2,Heart_Left_Ventricle,17,no,0.367,0.458,0.647,0.537
middle,cnn,dnabert2,Heart_Left_Ventricle,17,no,0.467,0.524,0.647,0.579
middle,rnn,dnabert2,Heart_Left_Ventricle,17,no,0.433,0.0,0.0,0.0
large,mlp,dnabert2,Heart_Left_Ventricle,17,no,0.4,0.4,1.0,0.571
large,cnn,dnabert2,Heart_Left_Ventricle,17,no,0.4,0.4,1.0,0.571
large,rnn,dnabert2,Heart_Left_Ventricle,17,no,0.35,0.308,0.5,0.381
small,mlp,dnabert2,Heart_Left_Ventricle,510,no,0.579,0.579,1.0,0.733
small,cnn,dnabert2,Heart_Left_Ventricle,510,no,0.579,0.579,1.0,0.733
small,rnn,dnabert2,Heart_Left_Ventricle,510,no,0.579,0.615,0.727,0.667
middle,mlp,dnabert2,Heart_Left_Ventricle,510,no,0.433,0.0,0.0,0.0
middle,cnn,dnabert2,Heart_Left_Ventricle,510,no,0.433,0.0,0.0,0.0
middle,rnn,dnabert2,Heart_Left_Ventricle,510,no,0.567,0.567,1.0,0.723
large,mlp,dnabert2,Heart_Left_Ventricle,510,no,0.4,0.4,1.0,0.571
large,cnn,dnabert2,Heart_Left_Ventricle,510,no,0.4,0.4,1.0,0.571
large,rnn,dnabert2,Heart_Left_Ventricle,510,no,0.6,0.5,0.125,0.2
small,mlp,dnabert2,Heart_Left_Ventricle,1030,no,0.579,0.579,1.0,0.733
small,cnn,dnabert2,Heart_Left_Ventricle,1030,no,0.579,0.579,1.0,0.733
small,rnn,dnabert2,Heart_Left_Ventricle,1030,no,0.579,0.579,1.0,0.733
