size,model,embedding,tissue,seed,shuffled,acc,precision,recall,f1
small,mlp,enformer,Esophagus_Mucosa,17,no,0.319,0.125,0.1,0.111
small,cnn,enformer,Esophagus_Mucosa,17,no,0.468,0.391,0.45,0.419
small,rnn,enformer,Esophagus_Mucosa,17,no,0.532,0.45,0.45,0.45
middle,mlp,enformer,Esophagus_Mucosa,17,no,0.586,0.778,0.538,0.636
middle,cnn,enformer,Esophagus_Mucosa,17,no,0.5,0.639,0.59,0.613
middle,rnn,enformer,Esophagus_Mucosa,17,no,0.483,0.714,0.385,0.5
large,mlp,enformer,Esophagus_Mucosa,17,no,0.487,0.389,0.2,0.264
large,cnn,enformer,Esophagus_Mucosa,17,no,0.539,0.5,0.629,0.557
large,rnn,enformer,Esophagus_Mucosa,17,no,0.513,0.472,0.486,0.479
small,mlp,enformer,Esophagus_Mucosa,510,no,0.553,0.333,0.05,0.087
small,cnn,enformer,Esophagus_Mucosa,510,no,0.511,0.452,0.7,0.549
small,rnn,enformer,Esophagus_Mucosa,510,no,0.553,0.455,0.25,0.323
middle,mlp,enformer,Esophagus_Mucosa,510,no,0.672,0.672,1.0,0.804
middle,cnn,enformer,Esophagus_Mucosa,510,no,0.448,0.63,0.436,0.515
middle,rnn,enformer,Esophagus_Mucosa,510,no,0.5,0.708,0.436,0.54
large,mlp,enformer,Esophagus_Mucosa,510,no,0.421,0.408,0.571,0.476
large,cnn,enformer,Esophagus_Mucosa,510,no,0.513,0.481,0.743,0.584
large,rnn,enformer,Esophagus_Mucosa,510,no,0.5,0.429,0.257,0.321
small,mlp,enformer,Esophagus_Mucosa,1030,no,0.426,0.267,0.2,0.229
small,cnn,enformer,Esophagus_Mucosa,1030,no,0.489,0.429,0.6,0.5
small,rnn,enformer,Esophagus_Mucosa,1030,no,0.489,0.389,0.35,0.368
middle,mlp,enformer,Esophagus_Mucosa,1030,no,0.466,0.633,0.487,0.551
middle,cnn,enformer,Esophagus_Mucosa,1030,no,0.483,0.645,0.513,0.571
middle,rnn,enformer,Esophagus_Mucosa,1030,no,0.328,0.5,0.282,0.361
large,mlp,enformer,Esophagus_Mucosa,1030,no,0.474,0.442,0.543,0.487
large,cnn,enformer,Esophagus_Mucosa,1030,no,0.474,0.444,0.571,0.5
large,rnn,enformer,Esophagus_Mucosa,1030,no,0.461,0.406,0.371,0.388
small,mlp,enformer,Heart_Left_Ventricle,17,no,0.737,0.714,0.909,0.8
small,cnn,enformer,Heart_Left_Ventricle,17,no,0.737,0.8,0.727,0.762
small,rnn,enformer,Heart_Left_Ventricle,17,no,0.526,0.583,0.636,0.609
middle,mlp,enformer,Heart_Left_Ventricle,17,no,0.533,0.714,0.294,0.417
middle,cnn,enformer,Heart_Left_Ventricle,17,no,0.6,0.857,0.353,0.5
middle,rnn,enformer,Heart_Left_Ventricle,17,no,0.567,0.625,0.588,0.606
large,mlp,enformer,Heart_Left_Ventricle,17,no,0.45,0.35,0.438,0.389
large,cnn,enformer,Heart_Left_Ventricle,17,no,0.45,0.385,0.625,0.476
large,rnn,enformer,Heart_Left_Ventricle,17,no,0.475,0.4,0.625,0.488
small,mlp,enformer,Heart_Left_Ventricle,510,no,0.579,0.714,0.455,0.556
small,cnn,enformer,Heart_Left_Ventricle,510,no,0.737,0.75,0.818,0.783
small,rnn,enformer,Heart_Left_Ventricle,510,no,0.368,0.444,0.364,0.4
middle,mlp,enformer,Heart_Left_Ventricle,510,no,0.5,0.583,0.412,0.483
middle,cnn,enformer,Heart_Left_Ventricle,510,no,0.433,0.5,0.412,0.452
middle,rnn,enformer,Heart_Left_Ventricle,510,no,0.667,0.818,0.529,0.643
large,mlp,enformer,Heart_Left_Ventricle,510,no,0.45,0.421,1.0,0.593
large,cnn,enformer,Heart_Left_Ventricle,510,no,0.5,0.429,0.75,0.545
large,rnn,enformer,Heart_Left_Ventricle,510,no,0.5,0.433,0.812,0.565
small,mlp,enformer,Heart_Left_Ventricle,1030,no,0.632,0.7,0.636,0.667
small,cnn,enformer,Heart_Left_Ventricle,1030,no,0.579,0.667,0.545,0.6
small,rnn,enformer,Heart_Left_Ventricle,1030,no,0.684,0.692,0.818,0.75
middle,mlp,enformer,Heart_Left_Ventricle,1030,no,0.6,0.778,0.412,0.538
middle,cnn,enformer,Heart_Left_Ventricle,1030,no,0.433,0.5,0.412,0.452
middle,rnn,enformer,Heart_Left_Ventricle,1030,no,0.5,0.542,0.765,0.634
large,mlp,enformer,Heart_Left_Ventricle,1030,no,0.575,0.481,0.812,0.605
large,cnn,enformer,Heart_Left_Ventricle,1030,no,0.35,0.308,0.5,0.381
large,rnn,enformer,Heart_Left_Ventricle,1030,no,0.5,0.375,0.375,0.375
small,mlp,enformer,Nerve_Tibial,17,no,0.566,0.75,0.222,0.343
small,cnn,enformer,Nerve_Tibial,17,no,0.415,0.433,0.481,0.456
small,rnn,enformer,Nerve_Tibial,17,no,0.604,0.588,0.741,0.656
middle,mlp,enformer,Nerve_Tibial,17,no,0.485,0.591,0.342,0.433
middle,cnn,enformer,Nerve_Tibial,17,no,0.515,0.6,0.474,0.529
middle,rnn,enformer,Nerve_Tibial,17,no,0.515,0.636,0.368,0.467
large,mlp,enformer,Nerve_Tibial,17,no,0.443,0.386,0.386,0.386
large,cnn,enformer,Nerve_Tibial,17,no,0.464,0.433,0.591,0.5
large,rnn,enformer,Nerve_Tibial,17,no,0.464,0.42,0.477,0.447
small,mlp,enformer,Nerve_Tibial,510,no,0.415,0.429,0.444,0.436
small,cnn,enformer,Nerve_Tibial,510,no,0.528,0.536,0.556,0.545
small,rnn,enformer,Nerve_Tibial,510,no,0.528,0.556,0.37,0.444
middle,mlp,enformer,Nerve_Tibial,510,no,0.576,0.639,0.605,0.622
middle,cnn,enformer,Nerve_Tibial,510,no,0.591,0.704,0.5,0.585
middle,rnn,enformer,Nerve_Tibial,510,no,0.455,0.526,0.526,0.526
large,mlp,enformer,Nerve_Tibial,510,no,0.433,0.429,0.75,0.545
large,cnn,enformer,Nerve_Tibial,510,no,0.495,0.456,0.591,0.515
large,rnn,enformer,Nerve_Tibial,510,no,0.412,0.393,0.545,0.457
small,mlp,enformer,Nerve_Tibial,1030,no,0.472,0.49,0.889,0.632
small,cnn,enformer,Nerve_Tibial,1030,no,0.566,0.567,0.63,0.596
small,rnn,enformer,Nerve_Tibial,1030,no,0.566,0.559,0.704,0.623
middle,mlp,enformer,Nerve_Tibial,1030,no,0.576,0.647,0.579,0.611
middle,cnn,enformer,Nerve_Tibial,1030,no,0.424,0.5,0.289,0.367
middle,rnn,enformer,Nerve_Tibial,1030,no,0.515,0.667,0.316,0.429
large,mlp,enformer,Nerve_Tibial,1030,no,0.433,0.425,0.705,0.53
large,cnn,enformer,Nerve_Tibial,1030,no,0.495,0.449,0.5,0.473
large,rnn,enformer,Nerve_Tibial,1030,no,0.443,0.411,0.523,0.46
small,mlp,enformer,Esophagus_Mucosa,17,yes,0.488,0.429,0.3,0.353
small,cnn,enformer,Esophagus_Mucosa,17,yes,0.442,0.4,0.4,0.4
small,rnn,enformer,Esophagus_Mucosa,17,yes,0.558,0.526,0.5,0.513
middle,mlp,enformer,Esophagus_Mucosa,17,yes,0.462,0.52,0.448,0.481
middle,cnn,enformer,Esophagus_Mucosa,17,yes,0.462,0.517,0.517,0.517
middle,rnn,enformer,Esophagus_Mucosa,17,yes,0.5,0.579,0.379,0.458
large,mlp,enformer,Esophagus_Mucosa,17,yes,0.512,0.477,0.568,0.519
large,cnn,enformer,Esophagus_Mucosa,17,yes,0.425,0.39,0.432,0.41
large,rnn,enformer,Esophagus_Mucosa,17,yes,0.5,0.469,0.622,0.535
small,mlp,enformer,Esophagus_Mucosa,510,yes,0.442,0.44,0.524,0.478
small,cnn,enformer,Esophagus_Mucosa,510,yes,0.535,0.522,0.571,0.545
small,rnn,enformer,Esophagus_Mucosa,510,yes,0.442,0.364,0.19,0.25
middle,mlp,enformer,Esophagus_Mucosa,510,yes,0.5,0.594,0.594,0.594
middle,cnn,enformer,Esophagus_Mucosa,510,yes,0.615,0.688,0.688,0.688
middle,rnn,enformer,Esophagus_Mucosa,510,yes,0.519,0.64,0.5,0.561
large,mlp,enformer,Esophagus_Mucosa,510,yes,0.625,0.639,0.83,0.722
large,cnn,enformer,Esophagus_Mucosa,510,yes,0.688,0.75,0.702,0.725
large,rnn,enformer,Esophagus_Mucosa,510,yes,0.487,0.579,0.468,0.518
small,mlp,enformer,Esophagus_Mucosa,1030,yes,0.488,0.667,0.087,0.154
small,cnn,enformer,Esophagus_Mucosa,1030,yes,0.512,0.583,0.304,0.4
