size,model,embedding,tissue,seed,shuffled,acc,precision,recall,f1
small,mlp,hyena,Esophagus_Mucosa,17,no,0.596,0.667,0.1,0.174
small,cnn,hyena,Esophagus_Mucosa,17,no,0.617,0.562,0.45,0.5
small,rnn,hyena,Esophagus_Mucosa,17,no,0.489,0.455,1.0,0.625
middle,mlp,hyena,Esophagus_Mucosa,17,no,0.672,0.672,1.0,0.804
middle,cnn,hyena,Esophagus_Mucosa,17,no,0.672,0.672,1.0,0.804
middle,rnn,hyena,Esophagus_Mucosa,17,no,0.672,0.672,1.0,0.804
large,mlp,hyena,Esophagus_Mucosa,17,no,0.526,0.487,0.543,0.514
large,cnn,hyena,Esophagus_Mucosa,17,no,0.487,0.473,1.0,0.642
large,rnn,hyena,Esophagus_Mucosa,17,no,0.539,0.5,0.657,0.568
small,mlp,hyena,Esophagus_Mucosa,510,no,0.574,0.0,0.0,0.0
small,cnn,hyena,Esophagus_Mucosa,510,no,0.66,0.667,0.4,0.5
small,rnn,hyena,Esophagus_Mucosa,510,no,0.426,0.426,1.0,0.597
middle,mlp,hyena,Esophagus_Mucosa,510,no,0.672,0.708,0.872,0.782
middle,cnn,hyena,Esophagus_Mucosa,510,no,0.672,0.672,1.0,0.804
middle,rnn,hyena,Esophagus_Mucosa,510,no,0.672,0.672,1.0,0.804
large,mlp,hyena,Esophagus_Mucosa,510,no,0.539,0.5,0.257,0.34
large,cnn,hyena,Esophagus_Mucosa,510,no,0.513,0.486,0.971,0.648
large,rnn,hyena,Esophagus_Mucosa,510,no,0.487,0.467,0.8,0.589
small,mlp,hyena,Esophagus_Mucosa,1030,no,0.532,0.375,0.15,0.214
small,cnn,hyena,Esophagus_Mucosa,1030,no,0.638,0.615,0.4,0.485
small,rnn,hyena,Esophagus_Mucosa,1030,no,0.426,0.422,0.95,0.585
middle,mlp,hyena,Esophagus_Mucosa,1030,no,0.379,1.0,0.077,0.143
middle,cnn,hyena,Esophagus_Mucosa,1030,no,0.672,0.672,1.0,0.804
middle,rnn,hyena,Esophagus_Mucosa,1030,no,0.552,0.667,0.667,0.667
large,mlp,hyena,Esophagus_Mucosa,1030,no,0.461,0.461,1.0,0.631
large,cnn,hyena,Esophagus_Mucosa,1030,no,0.461,0.461,1.0,0.631
large,rnn,hyena,Esophagus_Mucosa,1030,no,0.513,0.486,1.0,0.654
small,mlp,hyena,Heart_Left_Ventricle,17,no,0.579,0.579,1.0,0.733
small,cnn,hyena,Heart_Left_Ventricle,17,no,0.579,0.579,1.0,0.733
