size,model,embedding,tissue,seed,shuffled,acc,precision,recall,f1
small,xgboost,NT,Esophagus_Mucosa,17,no,0.46,0.36,0.35,0.35
small,lightgbm,NT,Esophagus_Mucosa,17,no,0.53,0.44,0.4,0.42
small,random forest,NT,Esophagus_Mucosa,17,no,0.4,0.34,0.45,0.39
small,knn,NT,Esophagus_Mucosa,17,no,0.46,0.4,0.5,0.44
small,svm,NT,Esophagus_Mucosa,17,no,0.4,0.31,0.35,0.33
middle,xgboost,NT,Esophagus_Mucosa,17,no,0.48,0.65,0.48,0.55
middle,lightgbm,NT,Esophagus_Mucosa,17,no,0.5,0.65,0.53,0.59
middle,random forest,NT,Esophagus_Mucosa,17,no,0.39,0.55,0.48,0.52
middle,knn,NT,Esophagus_Mucosa,17,no,0.36,0.53,0.38,0.44
middle,svm,NT,Esophagus_Mucosa,17,no,0.32,0.0,0.0,0.0
large,xgboost,NT,Esophagus_Mucosa,17,no,0.39,0.37,0.48,0.42
large,lightgbm,NT,Esophagus_Mucosa,17,no,0.47,0.44,0.6,0.51
large,random forest,NT,Esophagus_Mucosa,17,no,0.43,0.41,0.57,0.48
large,knn,NT,Esophagus_Mucosa,17,no,0.48,0.47,1.0,0.64
large,svm,NT,Esophagus_Mucosa,17,no,0.46,0.46,1.0,0.63
small,xgboost,NT,Esophagus_Mucosa,510,no,0.51,0.43,0.5,0.46
small,lightgbm,NT,Esophagus_Mucosa,510,no,0.53,0.44,0.4,0.42
small,random forest,NT,Esophagus_Mucosa,510,no,0.4,0.34,0.45,0.39
small,knn,NT,Esophagus_Mucosa,510,no,0.46,0.4,0.5,0.44
small,svm,NT,Esophagus_Mucosa,510,no,0.4,0.31,0.35,0.33
middle,xgboost,NT,Esophagus_Mucosa,510,no,0.51,0.67,0.53,0.6
middle,lightgbm,NT,Esophagus_Mucosa,510,no,0.41,0.58,0.46,0.51
middle,random forest,NT,Esophagus_Mucosa,510,no,0.46,0.62,0.51,0.56
middle,knn,NT,Esophagus_Mucosa,510,no,0.36,0.53,0.38,0.44
middle,svm,NT,Esophagus_Mucosa,510,no,0.53,0.64,0.69,0.66
large,xgboost,NT,Esophagus_Mucosa,510,no,0.38,0.35,0.42,0.38
large,lightgbm,NT,Esophagus_Mucosa,510,no,0.38,0.36,0.45,0.4
large,random forest,NT,Esophagus_Mucosa,510,no,0.34,0.34,0.48,0.4
large,knn,NT,Esophagus_Mucosa,510,no,0.48,0.47,0.97,0.63
large,svm,NT,Esophagus_Mucosa,510,no,0.46,0.45,0.85,0.59
small,xgboost,NT,Esophagus_Mucosa,1030,no,0.44,0.4,0.6,0.48
small,lightgbm,NT,Esophagus_Mucosa,1030,no,0.53,0.44,0.4,0.42
small,random forest,NT,Esophagus_Mucosa,1030,no,0.48,0.4,0.4,0.4
small,knn,NT,Esophagus_Mucosa,1030,no,0.46,0.4,0.5,0.44
small,svm,NT,Esophagus_Mucosa,1030,no,0.4,0.31,0.35,0.33
middle,xgboost,NT,Esophagus_Mucosa,1030,no,0.56,0.7,0.61,0.65
middle,lightgbm,NT,Esophagus_Mucosa,1030,no,0.5,0.65,0.53,0.59
middle,random forest,NT,Esophagus_Mucosa,1030,no,0.51,0.65,0.58,0.62
middle,knn,NT,Esophagus_Mucosa,1030,no,0.36,0.53,0.38,0.44
middle,svm,NT,Esophagus_Mucosa,1030,no,0.32,0.0,0.0,0.0
large,xgboost,NT,Esophagus_Mucosa,1030,no,0.36,0.32,0.34,0.33
large,lightgbm,NT,Esophagus_Mucosa,1030,no,0.34,0.33,0.42,0.37
large,random forest,NT,Esophagus_Mucosa,1030,no,0.34,0.35,0.51,0.41
large,knn,NT,Esophagus_Mucosa,1030,no,0.47,0.46,0.97,0.62
large,svm,NT,Esophagus_Mucosa,1030,no,0.46,0.45,0.85,0.59
small,xgboost,NT,Heart_Left_Ventricle,17,no,0.47,0.52,0.81,0.64
small,lightgbm,NT,Heart_Left_Ventricle,17,no,0.63,0.62,0.9,0.74
small,random forest,NT,Heart_Left_Ventricle,17,no,0.52,0.57,0.72,0.64
small,knn,NT,Heart_Left_Ventricle,17,no,0.57,0.57,1.0,0.73
small,svm,NT,Heart_Left_Ventricle,17,no,0.57,0.57,1.0,0.73
middle,xgboost,NT,Heart_Left_Ventricle,17,no,0.46,0.53,0.47,0.5
middle,lightgbm,NT,Heart_Left_Ventricle,17,no,0.56,0.61,0.64,0.62
middle,random forest,NT,Heart_Left_Ventricle,17,no,0.46,0.53,0.41,0.46
middle,knn,NT,Heart_Left_Ventricle,17,no,0.46,1.0,0.05,0.11
middle,svm,NT,Heart_Left_Ventricle,17,no,0.43,0.0,0.0,0.0
large,xgboost,NT,Heart_Left_Ventricle,17,no,0.37,0.32,0.5,0.39
large,lightgbm,NT,Heart_Left_Ventricle,17,no,0.4,0.35,0.62,0.45
large,random forest,NT,Heart_Left_Ventricle,17,no,0.45,0.4,0.75,0.52
large,knn,NT,Heart_Left_Ventricle,17,no,0.37,0.38,0.93,0.54
large,svm,NT,Heart_Left_Ventricle,17,no,0.4,0.4,1.0,0.57
small,xgboost,NT,Heart_Left_Ventricle,510,no,0.47,0.52,0.81,0.64
small,lightgbm,NT,Heart_Left_Ventricle,510,no,0.63,0.62,0.9,0.74
small,random forest,NT,Heart_Left_Ventricle,510,no,0.42,0.5,0.54,0.52
small,knn,NT,Heart_Left_Ventricle,510,no,0.57,0.57,1.0,0.73
small,svm,NT,Heart_Left_Ventricle,510,no,0.57,0.57,1.0,0.73
middle,xgboost,NT,Heart_Left_Ventricle,510,no,0.43,0.5,0.41,0.45
middle,lightgbm,NT,Heart_Left_Ventricle,510,no,0.46,0.52,0.52,0.52
middle,random forest,NT,Heart_Left_Ventricle,510,no,0.46,0.52,0.58,0.55
middle,knn,NT,Heart_Left_Ventricle,510,no,0.46,1.0,0.05,0.11
middle,svm,NT,Heart_Left_Ventricle,510,no,0.43,0.0,0.0,0.0
large,xgboost,NT,Heart_Left_Ventricle,510,no,0.32,0.29,0.5,0.37
large,lightgbm,NT,Heart_Left_Ventricle,510,no,0.35,0.32,0.56,0.4
large,random forest,NT,Heart_Left_Ventricle,510,no,0.45,0.39,0.68,0.5
large,knn,NT,Heart_Left_Ventricle,510,no,0.4,0.4,1.0,0.57
large,svm,NT,Heart_Left_Ventricle,510,no,0.45,0.42,1.0,0.59
small,xgboost,NT,Heart_Left_Ventricle,1030,no,0.68,0.66,0.9,0.76
small,lightgbm,NT,Heart_Left_Ventricle,1030,no,0.63,0.62,0.9,0.74
small,random forest,NT,Heart_Left_Ventricle,1030,no,0.57,0.61,0.72,0.66
small,knn,NT,Heart_Left_Ventricle,1030,no,0.57,0.57,1.0,0.73
small,svm,NT,Heart_Left_Ventricle,1030,no,0.57,0.57,1.0,0.73
middle,xgboost,NT,Heart_Left_Ventricle,1030,no,0.43,0.5,0.41,0.45
middle,lightgbm,NT,Heart_Left_Ventricle,1030,no,0.46,0.52,0.52,0.52
middle,random forest,NT,Heart_Left_Ventricle,1030,no,0.6,0.64,0.64,0.64
middle,knn,NT,Heart_Left_Ventricle,1030,no,0.43,0.0,0.0,0.0
middle,svm,NT,Heart_Left_Ventricle,1030,no,0.43,0.0,0.0,0.0
large,xgboost,NT,Heart_Left_Ventricle,1030,no,0.4,0.33,0.5,0.4
large,lightgbm,NT,Heart_Left_Ventricle,1030,no,0.4,0.35,0.62,0.45
