size,model,embedding,tissue,seed,shuffled,acc,precision,recall,f1
small,xgboost,gpn,Esophagus_Mucosa,17,no,0.51,0.43,0.5,0.46
small,lightgbm,gpn,Esophagus_Mucosa,17,no,0.46,0.38,0.4,0.39
small,random forest,gpn,Esophagus_Mucosa,17,no,0.34,0.23,0.25,0.24
small,knn,gpn,Esophagus_Mucosa,17,no,0.57,0.5,0.3,0.37
small,svm,gpn,Esophagus_Mucosa,17,no,0.42,0.34,0.4,0.37
middle,xgboost,gpn,Esophagus_Mucosa,17,no,0.5,0.63,0.61,0.62
middle,lightgbm,gpn,Esophagus_Mucosa,17,no,0.55,0.69,0.58,0.63
middle,random forest,gpn,Esophagus_Mucosa,17,no,0.56,0.71,0.58,0.64
middle,knn,gpn,Esophagus_Mucosa,17,no,0.41,0.59,0.41,0.48
middle,svm,gpn,Esophagus_Mucosa,17,no,0.67,0.67,1.0,0.8
large,xgboost,gpn,Esophagus_Mucosa,17,no,0.38,0.35,0.42,0.38
large,lightgbm,gpn,Esophagus_Mucosa,17,no,0.44,0.42,0.6,0.5
large,random forest,gpn,Esophagus_Mucosa,17,no,0.42,0.41,0.6,0.48
large,knn,gpn,Esophagus_Mucosa,17,no,0.47,0.44,0.6,0.51
large,svm,gpn,Esophagus_Mucosa,17,no,0.46,0.46,1.0,0.63
small,xgboost,gpn,Esophagus_Mucosa,510,no,0.48,0.42,0.55,0.47
small,lightgbm,gpn,Esophagus_Mucosa,510,no,0.44,0.36,0.4,0.38
small,random forest,gpn,Esophagus_Mucosa,510,no,0.36,0.27,0.3,0.28
small,knn,gpn,Esophagus_Mucosa,510,no,0.57,0.5,0.3,0.37
small,svm,gpn,Esophagus_Mucosa,510,no,0.57,0.0,0.0,0.0
middle,xgboost,gpn,Esophagus_Mucosa,510,no,0.58,0.69,0.69,0.69
middle,lightgbm,gpn,Esophagus_Mucosa,510,no,0.46,0.63,0.48,0.55
middle,random forest,gpn,Esophagus_Mucosa,510,no,0.51,0.64,0.61,0.63
middle,knn,gpn,Esophagus_Mucosa,510,no,0.44,0.61,0.48,0.54
middle,svm,gpn,Esophagus_Mucosa,510,no,0.67,0.67,1.0,0.8
large,xgboost,gpn,Esophagus_Mucosa,510,no,0.44,0.4,0.42,0.41
large,lightgbm,gpn,Esophagus_Mucosa,510,no,0.43,0.41,0.54,0.46
large,random forest,gpn,Esophagus_Mucosa,510,no,0.47,0.44,0.57,0.5
large,knn,gpn,Esophagus_Mucosa,510,no,0.4,0.38,0.48,0.43
large,svm,gpn,Esophagus_Mucosa,510,no,0.46,0.46,1.0,0.63
small,xgboost,gpn,Esophagus_Mucosa,1030,no,0.46,0.36,0.35,0.35
small,lightgbm,gpn,Esophagus_Mucosa,1030,no,0.44,0.36,0.4,0.38
small,random forest,gpn,Esophagus_Mucosa,1030,no,0.36,0.27,0.3,0.28
small,knn,gpn,Esophagus_Mucosa,1030,no,0.55,0.44,0.2,0.27
small,svm,gpn,Esophagus_Mucosa,1030,no,0.42,0.34,0.4,0.37
middle,xgboost,gpn,Esophagus_Mucosa,1030,no,0.51,0.65,0.58,0.62
middle,lightgbm,gpn,Esophagus_Mucosa,1030,no,0.55,0.69,0.58,0.63
middle,random forest,gpn,Esophagus_Mucosa,1030,no,0.53,0.65,0.64,0.64
middle,knn,gpn,Esophagus_Mucosa,1030,no,0.44,0.61,0.48,0.54
middle,svm,gpn,Esophagus_Mucosa,1030,no,0.67,0.67,1.0,0.8
large,xgboost,gpn,Esophagus_Mucosa,1030,no,0.43,0.41,0.54,0.46
large,lightgbm,gpn,Esophagus_Mucosa,1030,no,0.43,0.41,0.54,0.46
large,random forest,gpn,Esophagus_Mucosa,1030,no,0.47,0.44,0.6,0.51
large,knn,gpn,Esophagus_Mucosa,1030,no,0.46,0.45,0.97,0.62
large,svm,gpn,Esophagus_Mucosa,1030,no,0.46,0.46,1.0,0.63
small,xgboost,gpn,Heart_Left_Ventricle,17,no,0.42,0.5,0.54,0.52
small,lightgbm,gpn,Heart_Left_Ventricle,17,no,0.36,0.45,0.45,0.45
