size,model,embedding,tissue,seed,shuffled,acc,precision,recall,f1
small,xgboost,hyena,Esophagus_Mucosa,17,no,0.44,0.35,0.35,0.35
small,lightgbm,hyena,Esophagus_Mucosa,17,no,0.42,0.31,0.3,0.3
small,random forest,hyena,Esophagus_Mucosa,17,no,0.42,0.33,0.35,0.34
small,knn,hyena,Esophagus_Mucosa,17,no,0.61,0.62,0.25,0.35
small,svm,hyena,Esophagus_Mucosa,17,no,0.51,0.4,0.3,0.34
middle,xgboost,hyena,Esophagus_Mucosa,17,no,0.58,0.77,0.53,0.63
middle,lightgbm,hyena,Esophagus_Mucosa,17,no,0.56,0.81,0.46,0.59
middle,random forest,hyena,Esophagus_Mucosa,17,no,0.46,0.62,0.51,0.56
middle,knn,hyena,Esophagus_Mucosa,17,no,0.34,0.53,0.17,0.26
middle,svm,hyena,Esophagus_Mucosa,17,no,0.67,0.67,1.0,0.8
large,xgboost,hyena,Esophagus_Mucosa,17,no,0.46,0.43,0.57,0.49
large,lightgbm,hyena,Esophagus_Mucosa,17,no,0.44,0.42,0.6,0.5
large,random forest,hyena,Esophagus_Mucosa,17,no,0.47,0.44,0.6,0.51
large,knn,hyena,Esophagus_Mucosa,17,no,0.5,0.47,0.8,0.59
large,svm,hyena,Esophagus_Mucosa,17,no,0.4,0.39,0.54,0.45
small,xgboost,hyena,Esophagus_Mucosa,510,no,0.42,0.31,0.3,0.3
small,lightgbm,hyena,Esophagus_Mucosa,510,no,0.42,0.34,0.4,0.37
small,random forest,hyena,Esophagus_Mucosa,510,no,0.38,0.28,0.3,0.29
small,knn,hyena,Esophagus_Mucosa,510,no,0.59,0.6,0.15,0.24
small,svm,hyena,Esophagus_Mucosa,510,no,0.57,0.0,0.0,0.0
middle,xgboost,hyena,Esophagus_Mucosa,510,no,0.6,0.78,0.56,0.65
middle,lightgbm,hyena,Esophagus_Mucosa,510,no,0.55,0.8,0.43,0.56
middle,random forest,hyena,Esophagus_Mucosa,510,no,0.48,0.64,0.51,0.57
middle,knn,hyena,Esophagus_Mucosa,510,no,0.34,0.53,0.17,0.26
middle,svm,hyena,Esophagus_Mucosa,510,no,0.67,0.67,1.0,0.8
large,xgboost,hyena,Esophagus_Mucosa,510,no,0.5,0.46,0.62,0.53
large,lightgbm,hyena,Esophagus_Mucosa,510,no,0.47,0.44,0.6,0.51
large,random forest,hyena,Esophagus_Mucosa,510,no,0.5,0.46,0.57,0.51
large,knn,hyena,Esophagus_Mucosa,510,no,0.52,0.49,0.77,0.6
large,svm,hyena,Esophagus_Mucosa,510,no,0.4,0.39,0.54,0.45
