size,model,embedding,tissue,seed,shuffled,acc,precision,recall,f1
small,xgboost,onehot,Esophagus_Mucosa,17,no,0.46,0.4,0.55,0.46
small,lightgbm,onehot,Esophagus_Mucosa,17,no,0.42,0.18,0.1,0.12
small,random forest,onehot,Esophagus_Mucosa,17,no,0.63,0.71,0.25,0.37
small,knn,onehot,Esophagus_Mucosa,17,no,0.57,0.0,0.0,0.0
small,svm,onehot,Esophagus_Mucosa,17,no,0.57,0.0,0.0,0.0
middle,xgboost,onehot,Esophagus_Mucosa,17,no,0.5,0.69,0.46,0.55
middle,lightgbm,onehot,Esophagus_Mucosa,17,no,0.5,0.67,0.48,0.56
middle,random forest,onehot,Esophagus_Mucosa,17,no,0.46,0.66,0.41,0.5
middle,knn,onehot,Esophagus_Mucosa,17,no,0.48,0.64,0.51,0.57
middle,svm,onehot,Esophagus_Mucosa,17,no,0.55,0.67,0.64,0.65
large,xgboost,onehot,Esophagus_Mucosa,17,no,0.52,0.48,0.57,0.52
large,lightgbm,onehot,Esophagus_Mucosa,17,no,0.43,0.41,0.57,0.48
large,random forest,onehot,Esophagus_Mucosa,17,no,0.52,0.49,0.71,0.58
large,knn,onehot,Esophagus_Mucosa,17,no,0.42,0.42,0.71,0.53
large,svm,onehot,Esophagus_Mucosa,17,no,0.46,0.46,1.0,0.63
small,xgboost,onehot,Esophagus_Mucosa,510,no,0.42,0.36,0.45,0.4
small,lightgbm,onehot,Esophagus_Mucosa,510,no,0.42,0.18,0.1,0.12
small,random forest,onehot,Esophagus_Mucosa,510,no,0.44,0.31,0.25,0.27
small,knn,onehot,Esophagus_Mucosa,510,no,0.57,0.5,0.1,0.16
small,svm,onehot,Esophagus_Mucosa,510,no,0.57,0.0,0.0,0.0
middle,xgboost,onehot,Esophagus_Mucosa,510,no,0.65,0.77,0.69,0.72
middle,lightgbm,onehot,Esophagus_Mucosa,510,no,0.48,0.66,0.46,0.54
middle,random forest,onehot,Esophagus_Mucosa,510,no,0.65,0.75,0.71,0.73
middle,knn,onehot,Esophagus_Mucosa,510,no,0.5,0.67,0.48,0.56
middle,svm,onehot,Esophagus_Mucosa,510,no,0.32,0.0,0.0,0.0
large,xgboost,onehot,Esophagus_Mucosa,510,no,0.46,0.42,0.48,0.45
large,lightgbm,onehot,Esophagus_Mucosa,510,no,0.48,0.45,0.54,0.49
large,random forest,onehot,Esophagus_Mucosa,510,no,0.39,0.39,0.6,0.47
large,knn,onehot,Esophagus_Mucosa,510,no,0.43,0.44,0.88,0.59
large,svm,onehot,Esophagus_Mucosa,510,no,0.46,0.46,1.0,0.63
small,xgboost,onehot,Esophagus_Mucosa,1030,no,0.51,0.45,0.7,0.54
small,lightgbm,onehot,Esophagus_Mucosa,1030,no,0.42,0.18,0.1,0.12
small,random forest,onehot,Esophagus_Mucosa,1030,no,0.55,0.0,0.0,0.0
small,knn,onehot,Esophagus_Mucosa,1030,no,0.57,0.0,0.0,0.0
small,svm,onehot,Esophagus_Mucosa,1030,no,0.57,0.0,0.0,0.0
middle,xgboost,onehot,Esophagus_Mucosa,1030,no,0.41,0.6,0.35,0.45
middle,lightgbm,onehot,Esophagus_Mucosa,1030,no,0.5,0.67,0.48,0.56
middle,random forest,onehot,Esophagus_Mucosa,1030,no,0.53,0.71,0.51,0.59
middle,knn,onehot,Esophagus_Mucosa,1030,no,0.51,0.68,0.51,0.58
middle,svm,onehot,Esophagus_Mucosa,1030,no,0.55,0.67,0.64,0.65
large,xgboost,onehot,Esophagus_Mucosa,1030,no,0.52,0.48,0.57,0.52
large,lightgbm,onehot,Esophagus_Mucosa,1030,no,0.48,0.45,0.54,0.49
large,random forest,onehot,Esophagus_Mucosa,1030,no,0.42,0.42,0.68,0.52
large,knn,onehot,Esophagus_Mucosa,1030,no,0.44,0.44,0.77,0.56
large,svm,onehot,Esophagus_Mucosa,1030,no,0.46,0.46,1.0,0.63
small,xgboost,onehot,Heart_Left_Ventricle,17,no,0.52,0.57,0.72,0.64
small,lightgbm,onehot,Heart_Left_Ventricle,17,no,0.31,0.42,0.54,0.48
small,random forest,onehot,Heart_Left_Ventricle,17,no,0.57,0.57,1.0,0.73
small,knn,onehot,Heart_Left_Ventricle,17,no,0.57,0.57,1.0,0.73
small,svm,onehot,Heart_Left_Ventricle,17,no,0.52,0.57,0.72,0.64
middle,xgboost,onehot,Heart_Left_Ventricle,17,no,0.56,0.66,0.47,0.55
middle,lightgbm,onehot,Heart_Left_Ventricle,17,no,0.5,0.62,0.29,0.4
middle,random forest,onehot,Heart_Left_Ventricle,17,no,0.46,0.53,0.41,0.46
middle,knn,onehot,Heart_Left_Ventricle,17,no,0.4,0.33,0.05,0.1
middle,svm,onehot,Heart_Left_Ventricle,17,no,0.43,0.0,0.0,0.0
large,xgboost,onehot,Heart_Left_Ventricle,17,no,0.4,0.33,0.5,0.4
large,lightgbm,onehot,Heart_Left_Ventricle,17,no,0.52,0.43,0.62,0.51
large,random forest,onehot,Heart_Left_Ventricle,17,no,0.4,0.35,0.62,0.45
large,knn,onehot,Heart_Left_Ventricle,17,no,0.4,0.39,0.93,0.55
large,svm,onehot,Heart_Left_Ventricle,17,no,0.4,0.4,1.0,0.57
small,xgboost,onehot,Heart_Left_Ventricle,510,no,0.57,0.58,0.9,0.71
