size,model,embedding,tissue,acc,precision,recall,f1,,TN,FP,FN,TP,positive,negative,,TN,FP,FN,TP
small,Transformer,hyena,Heart_Left_Ventricle,0.684210526,0.666666667,0.666666667,0.666666667,,0.38,0.62,0.09,0.91,11,8,,3,5,1,10
small,Transformer,NT,Heart_Left_Ventricle,0.578947368,0.578947368,0.578947368,0.578947368,,0,1,0,1,11,8,,0,8,0,11
small,Transformer,gpn,Heart_Left_Ventricle,0.578947368,0.578947368,0.578947368,0.578947368,,0,1,0,1,11,8,,0,8,0,11
small,Transformer,enformer-pca,Heart_Left_Ventricle,0.578947368,0.578947368,0.578947368,0.578947368,,0,1,0,1,11,8,,0,8,0,11
small,Transformer,dnabert,Heart_Left_Ventricle,0.789473684,0.769230769,0.769230769,0.769230769,,0.62,0.38,0.09,0.91,11,8,,5,3,1,10
middle,Transformer,hyena,Heart_Left_Ventricle,0.5,0.583333333,0.583333333,0.583333333,,0.62,0.38,0.59,0.41,17,13,,8,5,10,7
middle,Transformer,NT,Heart_Left_Ventricle,0.433333333,0,0,0,,1,0,1,0,17,13,,13,0,17,0
middle,Transformer,gpn,Heart_Left_Ventricle,0.633333333,0.636363636,0.636363636,0.636363636,,0.38,0.62,0.18,0.82,17,13,,5,8,3,14
middle,Transformer,enformer-pca,Heart_Left_Ventricle,0.433333333,0,0,0,,1,0,1,0,17,13,,13,0,17,0
middle,Transformer,dnabert,Heart_Left_Ventricle,0.466666667,0.6,0.6,0.6,,0.85,0.15,0.82,0.18,17,13,,11,2,14,3
large,Transformer,hyena,Heart_Left_Ventricle,0.35,0.321428571,0.321428571,0.321428571,,0.21,0.79,0.44,0.56,16,24,,5,19,7,9
large,Transformer,NT,Heart_Left_Ventricle,0.4,0.4,0.4,0.4,,0,1,0,1,16,24,,0,24,0,16
large,Transformer,gpn,Heart_Left_Ventricle,0.525,0.421052632,0.421052632,0.421052632,,0.54,0.46,0.5,0.5,16,24,,13,11,8,8
large,Transformer,enformer-pca,Heart_Left_Ventricle,0.4,0.4,0.4,0.4,,0,1,0,1,16,24,,0,24,0,16
large,Transformer,dnabert,Heart_Left_Ventricle,0.4,0.4,0.4,0.4,,0,1,0,1,16,24,,0,24,0,16
small,Transformer,hyena,Esophagus_Mucosa,0.617021277,0.75,0.75,0.75,,0.96,0.04,0.85,0.15,20,27,,26,1,17,3
small,Transformer,NT,Esophagus_Mucosa,0.574468085,0,0,0,,1,0,1,0,20,27,,27,0,20,0
small,Transformer,gpn,Esophagus_Mucosa,0.574468085,0.5,0.5,0.5,,0.78,0.22,0.7,0.3,20,27,,21,6,14,6
small,Transformer,enformer-pca,Esophagus_Mucosa,0.425531915,0.425531915,0.425531915,0.425531915,,0,1,0,1,20,27,,0,27,0,20
small,Transformer,dnabert,Esophagus_Mucosa,0.553191489,0.47826087,0.47826087,0.47826087,,0.56,0.44,0.45,0.55,20,27,,15,12,9,11
middle,Transformer,hyena,Esophagus_Mucosa,0.5,0.65625,0.65625,0.65625,,0.42,0.58,0.46,0.54,39,19,,8,11,18,21
middle,Transformer,NT,Esophagus_Mucosa,0.327586207,0,0,0,,1,0,1,0,39,19,,19,0,39,0
