size,model,embedding,tissue,seed,shuffled,rmse,r2,pcc,pcc_p
small,mlp,NT,Esophagus_Mucosa,17,no,0.782,0.055,0.027,0.859
small,cnn,NT,Esophagus_Mucosa,17,no,0.849,0.243,0.244,0.098
small,rnn,NT,Esophagus_Mucosa,17,no,0.959,0.585,0.093,0.535
middle,mlp,NT,Esophagus_Mucosa,17,no,0.772,0.022,0.046,0.732
middle,cnn,NT,Esophagus_Mucosa,17,no,0.798,0.092,0.048,0.72
middle,rnn,NT,Esophagus_Mucosa,17,no,0.873,0.305,0.193,0.147
large,mlp,NT,Esophagus_Mucosa,17,no,0.763,0.032,0.002,0.988
large,cnn,NT,Esophagus_Mucosa,17,no,0.805,0.148,0.088,0.45
large,rnn,NT,Esophagus_Mucosa,17,no,0.818,0.185,0.116,0.318
small,mlp,NT,Esophagus_Mucosa,510,no,0.767,0.015,0.053,0.723
small,cnn,NT,Esophagus_Mucosa,510,no,0.879,0.331,0.1,0.505
small,rnn,NT,Esophagus_Mucosa,510,no,0.982,0.663,0.111,0.458
middle,mlp,NT,Esophagus_Mucosa,510,no,0.843,0.219,0.004,0.974
middle,cnn,NT,Esophagus_Mucosa,510,no,0.816,0.142,0.025,0.855
middle,rnn,NT,Esophagus_Mucosa,510,no,0.842,0.214,0.104,0.436
large,mlp,NT,Esophagus_Mucosa,510,no,0.761,0.026,0.069,0.552
large,cnn,NT,Esophagus_Mucosa,510,no,0.748,0.009,0.283,0.013
large,rnn,NT,Esophagus_Mucosa,510,no,0.794,0.116,0.066,0.571
small,mlp,NT,Esophagus_Mucosa,1030,no,0.82,0.161,0.115,0.441
small,cnn,NT,Esophagus_Mucosa,1030,no,0.867,0.295,0.105,0.482
small,rnn,NT,Esophagus_Mucosa,1030,no,0.978,0.65,0.098,0.512
middle,mlp,NT,Esophagus_Mucosa,1030,no,0.798,0.093,0.099,0.461
middle,cnn,NT,Esophagus_Mucosa,1030,no,0.838,0.204,0.209,0.115
middle,rnn,NT,Esophagus_Mucosa,1030,no,0.911,0.422,0.282,0.032
large,mlp,NT,Esophagus_Mucosa,1030,no,0.795,0.119,0.094,0.42
large,cnn,NT,Esophagus_Mucosa,1030,no,0.785,0.092,0.208,0.071
large,rnn,NT,Esophagus_Mucosa,1030,no,0.8,0.134,0.033,0.776
small,mlp,NT,Heart_Left_Ventricle,17,no,0.664,0.099,0.031,0.9
small,cnn,NT,Heart_Left_Ventricle,17,no,0.702,0.227,0.415,0.077
small,rnn,NT,Heart_Left_Ventricle,17,no,0.781,0.52,0.052,0.834
middle,mlp,NT,Heart_Left_Ventricle,17,no,0.79,0.043,0.205,0.277
middle,cnn,NT,Heart_Left_Ventricle,17,no,0.801,0.072,0.095,0.616
middle,rnn,NT,Heart_Left_Ventricle,17,no,0.827,0.143,0.022,0.906
large,mlp,NT,Heart_Left_Ventricle,17,no,0.629,0.139,0.011,0.947
large,cnn,NT,Heart_Left_Ventricle,17,no,0.638,0.173,0.03,0.852
large,rnn,NT,Heart_Left_Ventricle,17,no,0.645,0.197,0.083,0.613
small,mlp,NT,Heart_Left_Ventricle,510,no,0.678,0.145,0.117,0.635
small,cnn,NT,Heart_Left_Ventricle,510,no,0.641,0.023,0.123,0.617
small,rnn,NT,Heart_Left_Ventricle,510,no,0.794,0.568,0.104,0.673
