size,model,embedding,tissue,seed,shuffled,rmse,r2,pcc
small,transformer,hyena,Nerve_Tibial,17,yes,0.8462,-0.0075,-0.1173
small,transformer,hyena,Nerve_Tibial,1024,yes,0.8054,-0.0455,-0.1524
middle,transformer,hyena,Nerve_Tibial,17,yes,0.684,-0.0053,-0.014
small,transformer,hyena,Heart_Left_Ventricle,510,yes,0.6316,-0.0195,0.0843
middle,transformer,hyena,Heart_Left_Ventricle,17,yes,0.747,-0.0089,-0.154
middle,transformer,hyena,Nerve_Tibial,510,yes,0.7854,0.0067,0.2613
small,transformer,hyena,Nerve_Tibial,510,yes,0.7444,-0.0073,0.4554
middle,transformer,hyena,Nerve_Tibial,1024,yes,0.7398,0.1279,0.3731
large,transformer,hyena,Heart_Left_Ventricle,1024,yes,0.7813,0.1123,0.3953
small,transformer,hyena,Esophagus_Mucosa,17,yes,0.6514,0.0287,0.2881
small,transformer,hyena,Heart_Left_Ventricle,17,yes,0.7309,0.0868,0.3453
small,transformer,hyena,Esophagus_Mucosa,510,yes,0.6635,-0.0011,0.2754
middle,transformer,hyena,Esophagus_Mucosa,1024,yes,0.6893,0.052,0.2598
middle,transformer,hyena,Heart_Left_Ventricle,510,yes,0.7559,-0.1455,-0.164
large,transformer,hyena,Heart_Left_Ventricle,17,yes,0.9486,-0.0006,0.0097
middle,transformer,hyena,Esophagus_Mucosa,17,yes,0.6997,-0.0225,0.1529
large,transformer,hyena,Esophagus_Mucosa,1024,yes,0.8153,0.0041,0.1935
middle,transformer,hyena,Esophagus_Mucosa,510,yes,0.6743,-0.0339,-0.0202
large,transformer,hyena,Nerve_Tibial,1024,yes,0.7905,-0.0014,-0.0304
large,transformer,hyena,Esophagus_Mucosa,510,yes,0.7216,0.0121,0.1708
small,transformer,hyena,Heart_Left_Ventricle,1024,yes,0.7338,0.0736,0.3927
small,transformer,hyena,Esophagus_Mucosa,1024,yes,0.676,0.1778,0.5193
large,transformer,hyena,Heart_Left_Ventricle,510,yes,0.6961,0.0101,0.1829
large,transformer,hyena,Nerve_Tibial,510,yes,0.712,0.0436,0.2501
large,transformer,hyena,Esophagus_Mucosa,17,yes,0.7608,-0.0185,-0.134
middle,transformer,hyena,Heart_Left_Ventricle,1024,yes,0.6395,0.1667,0.516
large,transformer,hyena,Nerve_Tibial,17,yes,0.8153,0.0054,0.0998
small,transformer,hyena,Nerve_Tibial,17,no,0.7162,-0.024,0.1069
small,transformer,hyena,Nerve_Tibial,1024,no,0.7172,-0.0267,0.1449
middle,transformer,hyena,Nerve_Tibial,17,no,0.7809,0.0411,0.2589
small,transformer,hyena,Heart_Left_Ventricle,510,no,0.6271,0.0212,0.1493
middle,transformer,hyena,Heart_Left_Ventricle,17,no,0.7766,-0.0088,0.0296
middle,transformer,hyena,Nerve_Tibial,510,no,0.7858,0.0292,0.2032
small,transformer,hyena,Nerve_Tibial,510,no,0.7189,-0.0317,0.1444
middle,transformer,hyena,Nerve_Tibial,1024,no,0.7876,0.0246,0.269
large,transformer,hyena,Heart_Left_Ventricle,1024,no,0.6146,-0.0888,-0.2077
small,transformer,hyena,Esophagus_Mucosa,17,no,0.766,-0.0117,0.0149
small,transformer,hyena,Heart_Left_Ventricle,17,no,0.6231,0.0335,0.2164
small,transformer,hyena,Esophagus_Mucosa,510,no,0.7624,-0.0022,0.0751
middle,transformer,hyena,Esophagus_Mucosa,1024,no,0.7678,-0.0104,-0.2661
middle,transformer,hyena,Heart_Left_Ventricle,510,no,0.7733,-0.0004,0.0523
large,transformer,hyena,Heart_Left_Ventricle,17,no,0.5968,-0.0265,-0.3066
middle,transformer,hyena,Esophagus_Mucosa,17,no,0.768,-0.0109,0.1717
large,transformer,hyena,Esophagus_Mucosa,1024,no,0.7532,-0.0052,-0.0029
middle,transformer,hyena,Esophagus_Mucosa,510,no,0.8182,-0.1476,0.0628
large,transformer,hyena,Nerve_Tibial,1024,no,0.6994,0.0193,0.1809
large,transformer,hyena,Esophagus_Mucosa,510,no,0.7534,-0.0056,-0.0213
small,transformer,hyena,Heart_Left_Ventricle,1024,no,0.6239,0.0311,0.2205
small,transformer,hyena,Esophagus_Mucosa,1024,no,0.7638,-0.0059,0.0535
large,transformer,hyena,Heart_Left_Ventricle,510,no,0.5937,-0.016,-0.2673
large,transformer,hyena,Nerve_Tibial,510,no,0.7027,0.0101,0.1629
large,transformer,hyena,Esophagus_Mucosa,17,no,0.7528,-0.0041,0.003
middle,transformer,hyena,Heart_Left_Ventricle,1024,no,0.7737,-0.0015,0.1603
large,transformer,hyena,Nerve_Tibial,17,no,0.7036,0.0075,0.1636
small,transformer,dnabert,Nerve_Tibial,17,yes,0.7654,0.0044,0.1438
small,transformer,dnabert,Nerve_Tibial,1024,yes,0.7636,-0.0018,-0.0732
middle,transformer,dnabert,Nerve_Tibial,17,yes,0.7804,-0.0007,0.0738
small,transformer,dnabert,Heart_Left_Ventricle,510,yes,0.7213,-0.0042,0.2704
middle,transformer,dnabert,Heart_Left_Ventricle,17,yes,0.6085,0.1315,0.4976
middle,transformer,dnabert,Nerve_Tibial,510,yes,0.6833,0.1001,0.3187
