size,model,embedding,tissue,seed,shuffled,rmse,r2,pcc,pcc_p
small,mlp,dnabert2,Esophagus_Mucosa,17,no,0.773,0.031,0.288,0.05
small,cnn,dnabert2,Esophagus_Mucosa,17,no,0.814,0.142,0.26,0.078
small,rnn,dnabert2,Esophagus_Mucosa,17,no,0.836,0.205,0.083,0.581
middle,mlp,dnabert2,Esophagus_Mucosa,17,no,0.804,0.108,0.282,0.032
middle,cnn,dnabert2,Esophagus_Mucosa,17,no,0.824,0.163,0.158,0.236
middle,rnn,dnabert2,Esophagus_Mucosa,17,no,0.781,0.046,0.03,0.822
large,mlp,dnabert2,Esophagus_Mucosa,17,no,0.776,0.067,0.048,0.679
large,cnn,dnabert2,Esophagus_Mucosa,17,no,0.762,0.03,0.035,0.765
large,rnn,dnabert2,Esophagus_Mucosa,17,no,0.758,0.018,0.046,0.696
small,mlp,dnabert2,Esophagus_Mucosa,510,no,0.789,0.074,0.293,0.046
small,cnn,dnabert2,Esophagus_Mucosa,510,no,0.803,0.112,0.329,0.024
small,rnn,dnabert2,Esophagus_Mucosa,510,no,0.796,0.092,0.037,0.807
middle,mlp,dnabert2,Esophagus_Mucosa,510,no,0.834,0.191,0.268,0.042
middle,cnn,dnabert2,Esophagus_Mucosa,510,no,0.807,0.116,0.234,0.077
middle,rnn,dnabert2,Esophagus_Mucosa,510,no,0.777,0.035,0.338,0.009
large,mlp,dnabert2,Esophagus_Mucosa,510,no,0.77,0.049,0.043,0.715
large,cnn,dnabert2,Esophagus_Mucosa,510,no,0.762,0.03,0.049,0.675
large,rnn,dnabert2,Esophagus_Mucosa,510,no,0.768,0.046,0.009,0.938
small,mlp,dnabert2,Esophagus_Mucosa,1030,no,0.875,0.32,0.149,0.319
small,cnn,dnabert2,Esophagus_Mucosa,1030,no,0.79,0.075,0.238,0.106
small,rnn,dnabert2,Esophagus_Mucosa,1030,no,0.83,0.187,0.048,0.751
middle,mlp,dnabert2,Esophagus_Mucosa,1030,no,0.849,0.236,0.251,0.057
middle,cnn,dnabert2,Esophagus_Mucosa,1030,no,0.821,0.154,0.221,0.096
middle,rnn,dnabert2,Esophagus_Mucosa,1030,no,0.816,0.142,0.298,0.023
