size,model,embedding,tissue,seed,shuffled,rmse,r2,pcc,pcc_p
small,mlp,enformer,Esophagus_Mucosa,17,no,22.462,868.94,0.154,0.301
small,cnn,enformer,Esophagus_Mucosa,17,no,4.332,31.356,0.175,0.239
small,rnn,enformer,Esophagus_Mucosa,17,no,20.148,698.933,0.119,0.424
middle,mlp,enformer,Esophagus_Mucosa,17,no,7.413,93.196,0.121,0.367
middle,cnn,enformer,Esophagus_Mucosa,17,no,4.843,39.203,0.164,0.218
middle,rnn,enformer,Esophagus_Mucosa,17,no,8.439,121.089,0.145,0.276
large,mlp,enformer,Esophagus_Mucosa,17,no,10.503,194.463,0.066,0.569
large,cnn,enformer,Esophagus_Mucosa,17,no,2.408,9.271,0.006,0.959
large,rnn,enformer,Esophagus_Mucosa,17,no,15.601,430.256,0.095,0.415
small,mlp,enformer,Esophagus_Mucosa,510,no,15.31,403.16,0.143,0.337
small,cnn,enformer,Esophagus_Mucosa,510,no,4.289,30.712,0.047,0.754
small,rnn,enformer,Esophagus_Mucosa,510,no,0.963,0.6,0.01,0.947
middle,mlp,enformer,Esophagus_Mucosa,510,no,16.396,459.82,0.034,0.801
middle,cnn,enformer,Esophagus_Mucosa,510,no,7.307,90.529,0.009,0.944
middle,rnn,enformer,Esophagus_Mucosa,510,no,1.332,2.039,0.07,0.603
large,mlp,enformer,Esophagus_Mucosa,510,no,10.497,194.239,0.125,0.281
large,cnn,enformer,Esophagus_Mucosa,510,no,3.895,25.888,0.138,0.233
large,rnn,enformer,Esophagus_Mucosa,510,no,1.106,1.167,0.073,0.532
small,mlp,enformer,Esophagus_Mucosa,1030,no,13.382,307.771,0.018,0.906
small,cnn,enformer,Esophagus_Mucosa,1030,no,5.878,58.574,0.048,0.751
small,rnn,enformer,Esophagus_Mucosa,1030,no,26.336,1194.872,0.064,0.671
middle,mlp,enformer,Esophagus_Mucosa,1030,no,127.779,27986.84,0.171,0.2
middle,cnn,enformer,Esophagus_Mucosa,1030,no,8.178,113.644,0.044,0.742
middle,rnn,enformer,Esophagus_Mucosa,1030,no,19.614,658.419,0.09,0.501
large,mlp,enformer,Esophagus_Mucosa,1030,no,14.537,373.433,0.061,0.598
large,cnn,enformer,Esophagus_Mucosa,1030,no,5.346,49.641,0.111,0.342
large,rnn,enformer,Esophagus_Mucosa,1030,no,1.707,4.166,0.025,0.832
small,mlp,enformer,Heart_Left_Ventricle,17,no,54.419,7370.297,0.246,0.31
small,cnn,enformer,Heart_Left_Ventricle,17,no,9.006,200.89,0.062,0.802
small,rnn,enformer,Heart_Left_Ventricle,17,no,27.028,1817.271,0.231,0.342
middle,mlp,enformer,Heart_Left_Ventricle,17,no,33.0,1820.767,0.159,0.401
middle,cnn,enformer,Heart_Left_Ventricle,17,no,17.442,507.925,0.185,0.328
middle,rnn,enformer,Heart_Left_Ventricle,17,no,20.406,695.558,0.046,0.809
large,mlp,enformer,Heart_Left_Ventricle,17,no,14.825,632.399,0.136,0.404
large,cnn,enformer,Heart_Left_Ventricle,17,no,7.142,146.009,0.35,0.027
large,rnn,enformer,Heart_Left_Ventricle,17,no,2.555,17.813,0.143,0.378
small,mlp,enformer,Heart_Left_Ventricle,510,no,18.894,887.565,0.354,0.137
small,cnn,enformer,Heart_Left_Ventricle,510,no,8.545,180.754,0.173,0.479
small,rnn,enformer,Heart_Left_Ventricle,510,no,26.577,1757.154,0.017,0.944
middle,mlp,enformer,Heart_Left_Ventricle,510,no,34.09,1943.104,0.076,0.689
middle,cnn,enformer,Heart_Left_Ventricle,510,no,17.332,501.519,0.28,0.134
middle,rnn,enformer,Heart_Left_Ventricle,510,no,52.26,4567.726,0.223,0.235
large,mlp,enformer,Heart_Left_Ventricle,510,no,35.527,3636.54,0.232,0.149
large,cnn,enformer,Heart_Left_Ventricle,510,no,6.156,108.197,0.09,0.581
large,rnn,enformer,Heart_Left_Ventricle,510,no,31.736,2901.651,0.006,0.969
small,mlp,enformer,Heart_Left_Ventricle,1030,no,21.838,1186.014,0.01,0.968
small,cnn,enformer,Heart_Left_Ventricle,1030,no,8.211,166.803,0.009,0.972
small,rnn,enformer,Heart_Left_Ventricle,1030,no,22.164,1221.784,0.138,0.573
middle,mlp,enformer,Heart_Left_Ventricle,1030,no,47.009,3695.687,0.139,0.464
middle,cnn,enformer,Heart_Left_Ventricle,1030,no,14.896,370.202,0.438,0.016
middle,rnn,enformer,Heart_Left_Ventricle,1030,no,25.792,1111.801,0.166,0.382
large,mlp,enformer,Heart_Left_Ventricle,1030,no,16.445,778.363,0.433,0.005
large,cnn,enformer,Heart_Left_Ventricle,1030,no,6.455,119.078,0.144,0.375
large,rnn,enformer,Heart_Left_Ventricle,1030,no,28.709,2374.241,0.011,0.947
small,mlp,enformer,Nerve_Tibial,17,no,26.656,1417.378,0.069,0.624
small,cnn,enformer,Nerve_Tibial,17,no,5.93,69.206,0.096,0.492
small,rnn,enformer,Nerve_Tibial,17,no,36.552,2665.934,0.243,0.08
