size,model,embedding,tissue,seed,shuffled,rmse,r2,pcc,pcc_p
small,mlp,gpn,Esophagus_Mucosa,17,no,0.767,0.013,0.14,0.347
small,cnn,gpn,Esophagus_Mucosa,17,no,0.849,0.242,0.141,0.344
small,rnn,gpn,Esophagus_Mucosa,17,no,0.761,0.001,0.193,0.194
middle,mlp,gpn,Esophagus_Mucosa,17,no,0.838,0.205,0.024,0.861
middle,cnn,gpn,Esophagus_Mucosa,17,no,0.768,0.011,0.071,0.594
middle,rnn,gpn,Esophagus_Mucosa,17,no,0.79,0.07,0.016,0.905
large,mlp,gpn,Esophagus_Mucosa,17,no,0.768,0.045,0.097,0.407
large,cnn,gpn,Esophagus_Mucosa,17,no,0.775,0.064,0.088,0.451
large,rnn,gpn,Esophagus_Mucosa,17,no,0.78,-0.079,-0.198,0.086
small,mlp,gpn,Esophagus_Mucosa,510,no,0.772,0.028,0.117,0.435
small,cnn,gpn,Esophagus_Mucosa,510,no,0.763,0.004,0.171,0.251
small,rnn,gpn,Esophagus_Mucosa,510,no,0.807,0.122,0.046,0.76
middle,mlp,gpn,Esophagus_Mucosa,510,no,0.826,0.169,0.041,0.757
middle,cnn,gpn,Esophagus_Mucosa,510,no,0.819,0.149,0.165,0.216
middle,rnn,gpn,Esophagus_Mucosa,510,no,0.786,0.06,0.078,0.561
large,mlp,gpn,Esophagus_Mucosa,510,no,0.77,0.05,0.139,0.23
large,cnn,gpn,Esophagus_Mucosa,510,no,0.77,0.051,0.188,0.104
large,rnn,gpn,Esophagus_Mucosa,510,no,0.763,-0.032,-0.007,0.954
small,mlp,gpn,Esophagus_Mucosa,1030,no,0.818,0.155,0.167,0.262
small,cnn,gpn,Esophagus_Mucosa,1030,no,0.854,0.258,0.08,0.592
small,rnn,gpn,Esophagus_Mucosa,1030,no,0.869,0.303,0.11,0.461
middle,mlp,gpn,Esophagus_Mucosa,1030,no,0.829,0.177,0.033,0.803
middle,cnn,gpn,Esophagus_Mucosa,1030,no,0.802,0.104,0.091,0.495
middle,rnn,gpn,Esophagus_Mucosa,1030,no,0.795,0.082,0.056,0.674
large,mlp,gpn,Esophagus_Mucosa,1030,no,0.779,0.074,0.132,0.254
large,cnn,gpn,Esophagus_Mucosa,1030,no,0.766,0.041,0.024,0.838
large,rnn,gpn,Esophagus_Mucosa,1030,no,0.771,-0.054,-0.003,0.977
small,mlp,gpn,Heart_Left_Ventricle,17,no,0.671,0.12,0.291,0.227
small,cnn,gpn,Heart_Left_Ventricle,17,no,0.711,0.257,0.572,0.011
small,rnn,gpn,Heart_Left_Ventricle,17,no,0.704,0.232,0.231,0.342
middle,mlp,gpn,Heart_Left_Ventricle,17,no,0.808,0.092,0.124,0.513
middle,cnn,gpn,Heart_Left_Ventricle,17,no,0.787,0.037,0.036,0.849
middle,rnn,gpn,Heart_Left_Ventricle,17,no,0.774,0.001,0.12,0.528
large,mlp,gpn,Heart_Left_Ventricle,17,no,0.646,0.205,0.209,0.195
large,cnn,gpn,Heart_Left_Ventricle,17,no,0.599,0.035,0.06,0.715
large,rnn,gpn,Heart_Left_Ventricle,17,no,0.592,-0.009,0.182,0.26
small,mlp,gpn,Heart_Left_Ventricle,510,no,0.637,0.012,0.093,0.706
small,cnn,gpn,Heart_Left_Ventricle,510,no,0.672,0.124,0.025,0.918
small,rnn,gpn,Heart_Left_Ventricle,510,no,0.967,1.325,0.098,0.69
middle,mlp,gpn,Heart_Left_Ventricle,510,no,0.788,0.04,0.211,0.263
middle,cnn,gpn,Heart_Left_Ventricle,510,no,0.821,0.128,0.187,0.323
middle,rnn,gpn,Heart_Left_Ventricle,510,no,0.766,0.019,0.185,0.327
large,mlp,gpn,Heart_Left_Ventricle,510,no,0.705,0.432,0.208,0.198
large,cnn,gpn,Heart_Left_Ventricle,510,no,0.585,0.014,0.324,0.041
