size,model,embedding,tissue,seed,shuffled,rmse,r2,pcc,pcc_p
small,mlp,hyena,Esophagus_Mucosa,17,no,0.771,0.026,0.03,0.842
small,cnn,hyena,Esophagus_Mucosa,17,no,0.834,0.199,0.066,0.661
small,rnn,hyena,Esophagus_Mucosa,17,no,0.793,0.084,0.267,0.07
middle,mlp,hyena,Esophagus_Mucosa,17,no,0.838,0.205,0.092,0.492
middle,cnn,hyena,Esophagus_Mucosa,17,no,0.804,0.108,0.062,0.645
middle,rnn,hyena,Esophagus_Mucosa,17,no,0.781,0.045,0.258,0.05
large,mlp,hyena,Esophagus_Mucosa,17,no,0.758,0.018,0.025,0.827
large,cnn,hyena,Esophagus_Mucosa,17,no,0.766,0.039,0.019,0.87
large,rnn,hyena,Esophagus_Mucosa,17,no,0.768,0.045,0.038,0.744
small,mlp,hyena,Esophagus_Mucosa,510,no,0.796,0.092,0.044,0.769
small,cnn,hyena,Esophagus_Mucosa,510,no,0.833,0.198,0.129,0.387
small,rnn,hyena,Esophagus_Mucosa,510,no,0.781,0.051,0.181,0.223
middle,mlp,hyena,Esophagus_Mucosa,510,no,0.834,0.191,0.027,0.839
middle,cnn,hyena,Esophagus_Mucosa,510,no,0.777,0.035,0.047,0.724
middle,rnn,hyena,Esophagus_Mucosa,510,no,0.8,0.096,0.033,0.809
large,mlp,hyena,Esophagus_Mucosa,510,no,0.771,0.053,0.017,0.885
large,cnn,hyena,Esophagus_Mucosa,510,no,0.764,0.033,0.016,0.888
large,rnn,hyena,Esophagus_Mucosa,510,no,0.765,0.036,0.02,0.867
small,mlp,hyena,Esophagus_Mucosa,1030,no,0.787,0.067,0.009,0.953
small,cnn,hyena,Esophagus_Mucosa,1030,no,0.791,0.078,0.123,0.41
small,rnn,hyena,Esophagus_Mucosa,1030,no,0.793,0.084,0.104,0.488
middle,mlp,hyena,Esophagus_Mucosa,1030,no,0.792,0.076,0.173,0.194
middle,cnn,hyena,Esophagus_Mucosa,1030,no,0.781,0.045,0.026,0.849
middle,rnn,hyena,Esophagus_Mucosa,1030,no,0.782,0.049,0.172,0.198
large,mlp,hyena,Esophagus_Mucosa,1030,no,0.758,0.019,0.028,0.808
large,cnn,hyena,Esophagus_Mucosa,1030,no,0.758,0.017,0.007,0.952
large,rnn,hyena,Esophagus_Mucosa,1030,no,0.759,0.021,0.008,0.944
small,mlp,hyena,Heart_Left_Ventricle,17,no,0.634,0.0,0.02,0.936
small,cnn,hyena,Heart_Left_Ventricle,17,no,0.634,0.001,0.064,0.794
small,rnn,hyena,Heart_Left_Ventricle,17,no,0.636,0.005,0.106,0.666
middle,mlp,hyena,Heart_Left_Ventricle,17,no,0.798,0.065,0.125,0.51
