size,model,embedding,tissue,seed,shuffled,rmse,r2,pcc,pcc_p
small,mlp,onehot,Esophagus_Mucosa,17,no,0.759,0.006,0.234,0.113
small,cnn,onehot,Esophagus_Mucosa,17,no,0.852,0.253,0.124,0.406
small,rnn,onehot,Esophagus_Mucosa,17,no,0.813,0.141,0.139,0.352
middle,mlp,onehot,Esophagus_Mucosa,17,no,0.768,0.018,0.368,0.011
middle,cnn,onehot,Esophagus_Mucosa,17,no,0.799,0.1,0.113,0.448
middle,rnn,onehot,Esophagus_Mucosa,17,no,0.934,0.494,0.021,0.875
large,mlp,onehot,Esophagus_Mucosa,17,no,0.81,0.124,0.151,0.256
large,cnn,onehot,Esophagus_Mucosa,17,no,0.836,0.199,0.058,0.664
large,rnn,onehot,Esophagus_Mucosa,17,no,0.826,0.171,0.14,0.295
small,mlp,onehot,Esophagus_Mucosa,510,no,0.687,0.186,0.442,0.002
small,cnn,onehot,Esophagus_Mucosa,510,no,0.852,0.253,0.124,0.406
small,rnn,onehot,Esophagus_Mucosa,510,no,0.795,0.09,0.074,0.619
middle,mlp,onehot,Esophagus_Mucosa,510,no,0.768,0.018,0.368,0.011
middle,cnn,onehot,Esophagus_Mucosa,510,no,0.799,0.1,0.113,0.448
middle,rnn,onehot,Esophagus_Mucosa,510,no,0.807,0.116,0.255,0.053
large,mlp,onehot,Esophagus_Mucosa,510,no,0.81,0.124,0.181,0.174
large,cnn,onehot,Esophagus_Mucosa,510,no,0.835,0.195,0.023,0.863
large,rnn,onehot,Esophagus_Mucosa,510,no,0.826,0.171,0.14,0.295
small,mlp,onehot,Esophagus_Mucosa,1030,no,0.802,0.108,0.104,0.485
small,cnn,onehot,Esophagus_Mucosa,1030,no,0.788,0.072,0.109,0.466
small,rnn,onehot,Esophagus_Mucosa,1030,no,0.821,0.162,0.243,0.1
middle,mlp,onehot,Esophagus_Mucosa,1030,no,0.768,0.018,0.368,0.011
middle,cnn,onehot,Esophagus_Mucosa,1030,no,0.77,0.021,0.274,0.062
middle,rnn,onehot,Esophagus_Mucosa,1030,no,0.807,0.116,0.255,0.053
large,mlp,onehot,Esophagus_Mucosa,1030,no,0.81,0.124,0.151,0.256
large,cnn,onehot,Esophagus_Mucosa,1030,no,0.81,0.123,0.149,0.263
large,rnn,onehot,Esophagus_Mucosa,1030,no,0.826,0.171,0.14,0.295
small,mlp,onehot,Heart_Left_Ventricle,17,no,0.681,0.153,0.204,0.401
small,cnn,onehot,Heart_Left_Ventricle,17,no,0.708,0.249,0.067,0.787
small,rnn,onehot,Heart_Left_Ventricle,17,no,0.664,0.096,0.013,0.959
middle,mlp,onehot,Heart_Left_Ventricle,17,no,0.632,0.007,0.107,0.662
