size,model,embedding,tissue,seed,shuffled,rmse,r2,pcc
small,xgboost,NT,Esophagus_Mucosa,17,no,0.81,-0.13,0.182
small,lightgbm,NT,Esophagus_Mucosa,17,no,0.828,-0.18,0.108
small,random forest,NT,Esophagus_Mucosa,17,no,0.816,-0.14,-0.04
small,knn,NT,Esophagus_Mucosa,17,no,0.781,-0.05,0.011
small,svm,NT,Esophagus_Mucosa,17,no,0.816,-0.14,-0.03
middle,xgboost,NT,Esophagus_Mucosa,17,no,0.851,-0.24,0.011
middle,lightgbm,NT,Esophagus_Mucosa,17,no,0.863,-0.27,-0.01
middle,random forest,NT,Esophagus_Mucosa,17,no,0.839,-0.2,-0.17
middle,knn,NT,Esophagus_Mucosa,17,no,0.826,-0.17,-0.19
middle,svm,NT,Esophagus_Mucosa,17,no,0.797,-0.09,0.143
large,xgboost,NT,Esophagus_Mucosa,17,no,0.839,-0.24,0.036
large,lightgbm,NT,Esophagus_Mucosa,17,no,0.876,-0.36,-0.21
large,random forest,NT,Esophagus_Mucosa,17,no,0.815,-0.17,-0.21
large,knn,NT,Esophagus_Mucosa,17,no,0.78,-0.07,-0.29
large,svm,NT,Esophagus_Mucosa,17,no,0.774,-0.06,-0.34
small,xgboost,NT,Esophagus_Mucosa,510,no,0.892,-0.37,-0.02
small,lightgbm,NT,Esophagus_Mucosa,510,no,0.813,-0.13,0.082
small,random forest,NT,Esophagus_Mucosa,510,no,0.791,-0.07,0.092
small,knn,NT,Esophagus_Mucosa,510,no,0.781,-0.05,0.011
small,svm,NT,Esophagus_Mucosa,510,no,0.816,-0.14,-0.03
middle,xgboost,NT,Esophagus_Mucosa,510,no,0.851,-0.24,0.011
middle,lightgbm,NT,Esophagus_Mucosa,510,no,0.83,-0.18,0.11
middle,random forest,NT,Esophagus_Mucosa,510,no,0.838,-0.2,-0.11
middle,knn,NT,Esophagus_Mucosa,510,no,0.826,-0.17,-0.13
middle,svm,NT,Esophagus_Mucosa,510,no,0.797,-0.09,0.143
large,xgboost,NT,Esophagus_Mucosa,510,no,0.89,-0.4,-0.23
large,lightgbm,NT,Esophagus_Mucosa,510,no,0.868,-0.33,-0.2
large,random forest,NT,Esophagus_Mucosa,510,no,0.788,-0.1,-0.1
large,knn,NT,Esophagus_Mucosa,510,no,0.78,-0.07,-0.29
large,svm,NT,Esophagus_Mucosa,510,no,0.774,-0.06,-0.34
small,xgboost,NT,Esophagus_Mucosa,1030,no,0.883,-0.34,-0.04
