size,model,embedding,tissue,seed,shuffled,rmse,r2,pcc
small,xgboost,dnabert2,Esophagus_Mucosa,17,no,0.759,0.006,0.234
small,lightgbm,dnabert2,Esophagus_Mucosa,17,no,0.852,-0.253,-0.124
small,random forest,dnabert2,Esophagus_Mucosa,17,no,0.813,-0.141,-0.138
small,knn,dnabert2,Esophagus_Mucosa,17,no,0.768,-0.018,0.368
small,svm,dnabert2,Esophagus_Mucosa,17,no,0.799,-0.1,0.113
middle,xgboost,dnabert2,Esophagus_Mucosa,17,no,0.934,-0.494,-0.021
middle,lightgbm,dnabert2,Esophagus_Mucosa,17,no,0.81,-0.124,0.151
middle,random forest,dnabert2,Esophagus_Mucosa,17,no,0.836,-0.199,-0.058
middle,knn,dnabert2,Esophagus_Mucosa,17,no,0.826,-0.171,0.14
middle,svm,dnabert2,Esophagus_Mucosa,17,no,0.846,-0.227,-0.073
large,xgboost,dnabert2,Esophagus_Mucosa,17,no,0.8,-0.135,0.103
large,lightgbm,dnabert2,Esophagus_Mucosa,17,no,0.814,-0.173,0.026
large,random forest,dnabert2,Esophagus_Mucosa,17,no,0.79,-0.105,-0.049
large,knn,dnabert2,Esophagus_Mucosa,17,no,0.775,-0.064,-0.104
large,svm,dnabert2,Esophagus_Mucosa,17,no,0.753,-0.005,0.143
small,xgboost,dnabert2,Esophagus_Mucosa,510,no,0.687,0.186,0.442
small,lightgbm,dnabert2,Esophagus_Mucosa,510,no,0.852,-0.253,-0.124
small,random forest,dnabert2,Esophagus_Mucosa,510,no,0.795,-0.09,-0.074
small,knn,dnabert2,Esophagus_Mucosa,510,no,0.768,-0.018,0.368
small,svm,dnabert2,Esophagus_Mucosa,510,no,0.799,-0.1,0.113
middle,xgboost,dnabert2,Esophagus_Mucosa,510,no,0.807,-0.116,0.255
middle,lightgbm,dnabert2,Esophagus_Mucosa,510,no,0.81,-0.124,0.181
middle,random forest,dnabert2,Esophagus_Mucosa,510,no,0.835,-0.195,0.023
middle,knn,dnabert2,Esophagus_Mucosa,510,no,0.826,-0.171,0.14
middle,svm,dnabert2,Esophagus_Mucosa,510,no,0.85,-0.227,-0.073
large,xgboost,dnabert2,Esophagus_Mucosa,510,no,0.856,-0.298,-0.083
large,lightgbm,dnabert2,Esophagus_Mucosa,510,no,0.833,-0.229,-0.038
large,random forest,dnabert2,Esophagus_Mucosa,510,no,0.785,-0.093,-0.028
large,knn,dnabert2,Esophagus_Mucosa,510,no,0.775,-0.064,-0.104
large,svm,dnabert2,Esophagus_Mucosa,510,no,0.757,-0.014,0.114
small,xgboost,dnabert2,Esophagus_Mucosa,1030,no,0.802,-0.108,0.104
small,lightgbm,dnabert2,Esophagus_Mucosa,1030,no,0.788,-0.072,0.109
small,random forest,dnabert2,Esophagus_Mucosa,1030,no,0.821,-0.162,-0.243
small,knn,dnabert2,Esophagus_Mucosa,1030,no,0.768,-0.018,0.368
