size,model,embedding,tissue,seed,shuffled,rmse,r2,pcc
small,xgboost,enformer_pca,Esophagus_Mucosa,17,no,0.833,-0.195,0.015
small,lightgbm,enformer_pca,Esophagus_Mucosa,17,no,0.841,-0.219,-0.171
small,random forest,enformer_pca,Esophagus_Mucosa,17,no,0.765,-0.01,0.09
small,knn,enformer_pca,Esophagus_Mucosa,17,no,0.772,-0.028,-0.368
small,svm,enformer_pca,Esophagus_Mucosa,17,no,0.765,-0.009,0
middle,xgboost,enformer_pca,Esophagus_Mucosa,17,no,0.826,-0.169,0.167
middle,lightgbm,enformer_pca,Esophagus_Mucosa,17,no,0.883,-0.335,-0.178
middle,random forest,enformer_pca,Esophagus_Mucosa,17,no,0.859,-0.264,-0.13
middle,knn,enformer_pca,Esophagus_Mucosa,17,no,0.826,-0.169,0.135
middle,svm,enformer_pca,Esophagus_Mucosa,17,no,0.822,-0.157,0
large,xgboost,enformer_pca,Esophagus_Mucosa,17,no,0.91,-0.467,-0.305
large,lightgbm,enformer_pca,Esophagus_Mucosa,17,no,0.8,-0.133,-0.096
large,random forest,enformer_pca,Esophagus_Mucosa,17,no,0.762,-0.029,0.012
large,knn,enformer_pca,Esophagus_Mucosa,17,no,0.777,-0.07,-0.04
large,svm,enformer_pca,Esophagus_Mucosa,17,no,0.756,-0.014,0
small,xgboost,enformer_pca,Esophagus_Mucosa,510,no,0.737,0.063,0.273
small,lightgbm,enformer_pca,Esophagus_Mucosa,510,no,0.841,-0.219,-0.171
small,random forest,enformer_pca,Esophagus_Mucosa,510,no,0.777,-0.041,0.003
small,knn,enformer_pca,Esophagus_Mucosa,510,no,0.772,-0.028,-0.368
small,svm,enformer_pca,Esophagus_Mucosa,510,no,0.765,-0.009,0
middle,xgboost,enformer_pca,Esophagus_Mucosa,510,no,0.827,-0.173,0.158
middle,lightgbm,enformer_pca,Esophagus_Mucosa,510,no,0.865,-0.281,-0.063
middle,random forest,enformer_pca,Esophagus_Mucosa,510,no,0.825,-0.168,-0.035
middle,knn,enformer_pca,Esophagus_Mucosa,510,no,0.827,-0.172,0.018
middle,svm,enformer_pca,Esophagus_Mucosa,510,no,0.822,-0.157,0
large,xgboost,enformer_pca,Esophagus_Mucosa,510,no,0.865,-0.326,-0.143
large,lightgbm,enformer_pca,Esophagus_Mucosa,510,no,0.809,-0.16,-0.165
large,random forest,enformer_pca,Esophagus_Mucosa,510,no,0.759,-0.021,0.041
large,knn,enformer_pca,Esophagus_Mucosa,510,no,0.777,-0.07,-0.042
large,svm,enformer_pca,Esophagus_Mucosa,510,no,0.756,-0.014,0
small,xgboost,enformer_pca,Esophagus_Mucosa,1030,no,0.775,-0.036,0.17
small,lightgbm,enformer_pca,Esophagus_Mucosa,1030,no,0.795,-0.09,-0.009
small,random forest,enformer_pca,Esophagus_Mucosa,1030,no,0.78,-0.048,-0.052
small,knn,enformer_pca,Esophagus_Mucosa,1030,no,0.772,-0.028,-0.368
small,svm,enformer_pca,Esophagus_Mucosa,1030,no,0.765,-0.009,0
middle,xgboost,enformer_pca,Esophagus_Mucosa,1030,no,0.944,-0.529,-0.139
middle,lightgbm,enformer_pca,Esophagus_Mucosa,1030,no,0.882,-0.335,-0.178
middle,random forest,enformer_pca,Esophagus_Mucosa,1030,no,0.858,-0.261,0.034
middle,knn,enformer_pca,Esophagus_Mucosa,1030,no,0.826,-0.169,0.135
middle,svm,enformer_pca,Esophagus_Mucosa,1030,no,0.822,-0.157,0
large,xgboost,enformer_pca,Esophagus_Mucosa,1030,no,0.81,-0.162,-0.001
large,lightgbm,enformer_pca,Esophagus_Mucosa,1030,no,0.799,-0.132,-0.093
large,random forest,enformer_pca,Esophagus_Mucosa,1030,no,0.789,-0.102,-0.185
large,knn,enformer_pca,Esophagus_Mucosa,1030,no,0.777,-0.07,-0.042
large,svm,enformer_pca,Esophagus_Mucosa,1030,no,0.756,-0.014,0
small,xgboost,enformer_pca,Esophagus_Mucosa,17,yes,0.738,0.01,0.202
small,lightgbm,enformer_pca,Esophagus_Mucosa,17,yes,0.765,-0.065,0.107
small,random forest,enformer_pca,Esophagus_Mucosa,17,yes,0.761,-0.052,0.004
small,knn,enformer_pca,Esophagus_Mucosa,17,yes,0.752,-0.03,0.087
small,svm,enformer_pca,Esophagus_Mucosa,17,yes,0.785,-0.122,0
middle,xgboost,enformer_pca,Esophagus_Mucosa,17,yes,0.733,-0.204,0.04
middle,lightgbm,enformer_pca,Esophagus_Mucosa,17,yes,0.706,-0.116,0.046
middle,random forest,enformer_pca,Esophagus_Mucosa,17,yes,0.659,0.027,0.249
middle,knn,enformer_pca,Esophagus_Mucosa,17,yes,0.669,-0.003,0.256
middle,svm,enformer_pca,Esophagus_Mucosa,17,yes,0.672,-0.013,0
large,xgboost,enformer_pca,Esophagus_Mucosa,17,yes,0.74,0.152,0.435
large,lightgbm,enformer_pca,Esophagus_Mucosa,17,yes,0.721,0.196,0.461
large,random forest,enformer_pca,Esophagus_Mucosa,17,yes,0.692,0.064,0.263
large,knn,enformer_pca,Esophagus_Mucosa,17,yes,0.719,-0.012,-0.097
large,svm,enformer_pca,Esophagus_Mucosa,17,yes,0.703,0.033,0.197
small,xgboost,enformer_pca,Esophagus_Mucosa,510,yes,0.811,-0.177,0.001
small,lightgbm,enformer_pca,Esophagus_Mucosa,510,yes,0.708,-0.129,0.135
small,random forest,enformer_pca,Esophagus_Mucosa,510,yes,0.725,0.059,0.266
small,knn,enformer_pca,Esophagus_Mucosa,510,yes,0.754,-0.017,-0.168
small,svm,enformer_pca,Esophagus_Mucosa,510,yes,0.77,-0.06,0
middle,xgboost,enformer_pca,Esophagus_Mucosa,510,yes,0.778,-0.248,-0.031
middle,lightgbm,enformer_pca,Esophagus_Mucosa,510,yes,0.753,-0.168,-0.004
middle,random forest,enformer_pca,Esophagus_Mucosa,510,yes,0.699,-0.007,0.183
middle,knn,enformer_pca,Esophagus_Mucosa,510,yes,0.713,-0.046,-0.052
middle,svm,enformer_pca,Esophagus_Mucosa,510,yes,0.695,0.005,0.198
large,xgboost,enformer_pca,Esophagus_Mucosa,510,yes,0.804,0.009,0.279
large,lightgbm,enformer_pca,Esophagus_Mucosa,510,yes,0.775,0.079,0.323
large,random forest,enformer_pca,Esophagus_Mucosa,510,yes,0.73,0.011,0.22
large,knn,enformer_pca,Esophagus_Mucosa,510,yes,0.744,-0.027,-0.087
large,svm,enformer_pca,Esophagus_Mucosa,510,yes,0.71,0.065,0.329
small,xgboost,enformer_pca,Esophagus_Mucosa,1030,yes,0.708,-0.129,0.135
small,lightgbm,enformer_pca,Esophagus_Mucosa,1030,yes,0.718,-0.164,-0.003
small,random forest,enformer_pca,Esophagus_Mucosa,1030,yes,0.713,-0.145,-0.064
small,knn,enformer_pca,Esophagus_Mucosa,1030,yes,0.722,-0.175,-0.226
small,svm,enformer_pca,Esophagus_Mucosa,1030,yes,0.772,-0.345,0
middle,xgboost,enformer_pca,Esophagus_Mucosa,1030,yes,0.777,-0.173,0.134
middle,lightgbm,enformer_pca,Esophagus_Mucosa,1030,yes,0.7,0.046,0.292
middle,random forest,enformer_pca,Esophagus_Mucosa,1030,yes,0.711,0.017,0.191
middle,knn,enformer_pca,Esophagus_Mucosa,1030,yes,0.723,-0.018,0.233
middle,svm,enformer_pca,Esophagus_Mucosa,1030,yes,0.704,0.035,0.232
large,xgboost,enformer_pca,Esophagus_Mucosa,1030,yes,0.773,0.009,0.277
large,lightgbm,enformer_pca,Esophagus_Mucosa,1030,yes,0.739,0.095,0.334
large,random forest,enformer_pca,Esophagus_Mucosa,1030,yes,0.769,-0.01,0.113
large,knn,enformer_pca,Esophagus_Mucosa,1030,yes,0.764,0.002,0.046
large,svm,enformer_pca,Esophagus_Mucosa,1030,yes,0.776,-0.03,0.098
small,xgboost,enformer_pca,Heart_Left_Ventricle,17,no,0.686,-0.172,0.094
small,lightgbm,enformer_pca,Heart_Left_Ventricle,17,no,0.661,-0.086,0.209
small,random forest,enformer_pca,Heart_Left_Ventricle,17,no,0.594,0.121,0.383
small,knn,enformer_pca,Heart_Left_Ventricle,17,no,0.634,-0.002,0.489
small,svm,enformer_pca,Heart_Left_Ventricle,17,no,0.661,-0.089,0
middle,xgboost,enformer_pca,Heart_Left_Ventricle,17,no,0.806,-0.087,0.118
middle,lightgbm,enformer_pca,Heart_Left_Ventricle,17,no,0.868,-0.261,-0.239
middle,random forest,enformer_pca,Heart_Left_Ventricle,17,no,0.788,-0.398,-0.018
middle,knn,enformer_pca,Heart_Left_Ventricle,17,no,0.782,-0.224,-0.251
middle,svm,enformer_pca,Heart_Left_Ventricle,17,no,0.779,-0.016,0
large,xgboost,enformer_pca,Heart_Left_Ventricle,17,no,0.62,-0.108,0.23
large,lightgbm,enformer_pca,Heart_Left_Ventricle,17,no,0.657,-0.24,0.006
