size,model,embedding,tissue,seed,shuffled,rmse,r2,pcc
small,xgboost,gpn,Esophagus_Mucosa,17,no,0.889,-0.362,-0.243
small,lightgbm,gpn,Esophagus_Mucosa,17,no,0.86,-0.276,-0.144
small,random forest,gpn,Esophagus_Mucosa,17,no,0.847,-0.237,-0.319
small,knn,gpn,Esophagus_Mucosa,17,no,0.772,-0.027,0.004
small,svm,gpn,Esophagus_Mucosa,17,no,0.786,-0.066,-0.098
middle,xgboost,gpn,Esophagus_Mucosa,17,no,0.782,-0.048,0.283
middle,lightgbm,gpn,Esophagus_Mucosa,17,no,0.831,-0.184,0.106
middle,random forest,gpn,Esophagus_Mucosa,17,no,0.838,-0.205,-0.003
middle,knn,gpn,Esophagus_Mucosa,17,no,0.822,-0.159,0.016
middle,svm,gpn,Esophagus_Mucosa,17,no,0.823,-0.16,-0.016
large,xgboost,gpn,Esophagus_Mucosa,17,no,0.866,-0.327,-0.121
large,lightgbm,gpn,Esophagus_Mucosa,17,no,0.851,-0.285,-0.094
large,random forest,gpn,Esophagus_Mucosa,17,no,0.774,-0.061,-0.014
large,knn,gpn,Esophagus_Mucosa,17,no,0.76,-0.023,-0.062
large,svm,gpn,Esophagus_Mucosa,17,no,0.78,-0.078,-0.057
small,xgboost,gpn,Esophagus_Mucosa,510,no,0.941,-0.528,-0.403
small,lightgbm,gpn,Esophagus_Mucosa,510,no,0.86,-0.276,-0.144
small,random forest,gpn,Esophagus_Mucosa,510,no,0.837,-0.209,-0.273
small,knn,gpn,Esophagus_Mucosa,510,no,0.772,-0.027,0.004
small,svm,gpn,Esophagus_Mucosa,510,no,0.786,-0.066,-0.1
middle,xgboost,gpn,Esophagus_Mucosa,510,no,0.86,-0.269,0.079
middle,lightgbm,gpn,Esophagus_Mucosa,510,no,0.83,-0.184,0.106
middle,random forest,gpn,Esophagus_Mucosa,510,no,0.824,-0.165,0
middle,knn,gpn,Esophagus_Mucosa,510,no,0.823,-0.161,-0.041
middle,svm,gpn,Esophagus_Mucosa,510,no,0.823,-0.16,-0.016
large,xgboost,gpn,Esophagus_Mucosa,510,no,0.854,-0.293,-0.086
large,lightgbm,gpn,Esophagus_Mucosa,510,no,0.878,-0.366,-0.151
large,random forest,gpn,Esophagus_Mucosa,510,no,0.776,-0.068,-0.048
large,knn,gpn,Esophagus_Mucosa,510,no,0.76,-0.023,-0.062
large,svm,gpn,Esophagus_Mucosa,510,no,0.78,-0.078,-0.057
small,xgboost,gpn,Esophagus_Mucosa,1030,no,0.911,-0.43,-0.194
small,lightgbm,gpn,Esophagus_Mucosa,1030,no,0.82,-0.16,-0.183
small,random forest,gpn,Esophagus_Mucosa,1030,no,0.83,-0.189,-0.241
small,knn,gpn,Esophagus_Mucosa,1030,no,0.772,-0.027,0.004
small,svm,gpn,Esophagus_Mucosa,1030,no,0.786,-0.066,-0.1
middle,xgboost,gpn,Esophagus_Mucosa,1030,no,0.86,-0.269,0.079
