size,model,embedding,tissue,seed,shuffled,rmse,r2,pcc
small,xgboost,hyena,Esophagus_Mucosa,17,no,0.937,-0.514,-0.193
small,lightgbm,hyena,Esophagus_Mucosa,17,no,0.912,-0.435,-0.214
small,random forest,hyena,Esophagus_Mucosa,17,no,0.865,-0.289,-0.186
small,knn,hyena,Esophagus_Mucosa,17,no,0.77,-0.022,0.089
small,svm,hyena,Esophagus_Mucosa,17,no,0.772,-0.029,-0.017
middle,xgboost,hyena,Esophagus_Mucosa,17,no,0.977,-0.635,-0.284
middle,lightgbm,hyena,Esophagus_Mucosa,17,no,0.876,-0.316,-0.011
middle,random forest,hyena,Esophagus_Mucosa,17,no,0.86,-0.267,-0.156
middle,knn,hyena,Esophagus_Mucosa,17,no,0.81,-0.124,0.212
middle,svm,hyena,Esophagus_Mucosa,17,no,0.821,-0.156,0.137
large,xgboost,hyena,Esophagus_Mucosa,17,no,0.856,-0.3,-0.025
large,lightgbm,hyena,Esophagus_Mucosa,17,no,0.873,-0.351,-0.059
large,random forest,hyena,Esophagus_Mucosa,17,no,0.808,-0.158,-0.07
large,knn,hyena,Esophagus_Mucosa,17,no,0.776,-0.066,-0.078
large,svm,hyena,Esophagus_Mucosa,17,no,0.821,-0.195,-0.152
small,xgboost,hyena,Esophagus_Mucosa,510,no,1.018,-0.787,-0.258
small,lightgbm,hyena,Esophagus_Mucosa,510,no,0.949,-0.552,-0.24
small,random forest,hyena,Esophagus_Mucosa,510,no,0.85,-0.245,-0.173
small,knn,hyena,Esophagus_Mucosa,510,no,0.766,-0.013,0.182
small,svm,hyena,Esophagus_Mucosa,510,no,0.773,-0.031,0
middle,xgboost,hyena,Esophagus_Mucosa,510,no,0.955,-0.562,-0.23
middle,lightgbm,hyena,Esophagus_Mucosa,510,no,0.876,-0.316,-0.01
middle,random forest,hyena,Esophagus_Mucosa,510,no,0.818,-0.146,0.1
middle,knn,hyena,Esophagus_Mucosa,510,no,0.828,-0.175,0.059
middle,svm,hyena,Esophagus_Mucosa,510,no,0.82,-0.153,0.112
large,xgboost,hyena,Esophagus_Mucosa,510,no,0.856,-0.3,-0.025
large,lightgbm,hyena,Esophagus_Mucosa,510,no,0.873,-0.351,-0.059
large,random forest,hyena,Esophagus_Mucosa,510,no,0.811,-0.167,-0.102
large,knn,hyena,Esophagus_Mucosa,510,no,0.776,-0.066,-0.078
large,svm,hyena,Esophagus_Mucosa,510,no,0.821,-0.195,-0.152
small,xgboost,hyena,Esophagus_Mucosa,1030,no,0.987,-0.68,-0.33
small,lightgbm,hyena,Esophagus_Mucosa,1030,no,0.912,-0.435,-0.214
small,random forest,hyena,Esophagus_Mucosa,1030,no,0.851,-0.248,-0.136
small,knn,hyena,Esophagus_Mucosa,1030,no,0.769,-0.02,0.124
small,svm,hyena,Esophagus_Mucosa,1030,no,0.773,-0.031,0
middle,xgboost,hyena,Esophagus_Mucosa,1030,no,0.977,-0.635,-0.284
middle,lightgbm,hyena,Esophagus_Mucosa,1030,no,0.858,-0.262,0.067
middle,random forest,hyena,Esophagus_Mucosa,1030,no,0.821,-0.156,0.058
middle,knn,hyena,Esophagus_Mucosa,1030,no,0.828,-0.175,0.059
middle,svm,hyena,Esophagus_Mucosa,1030,no,0.821,-0.156,0.137
large,xgboost,hyena,Esophagus_Mucosa,1030,no,0.887,-0.393,-0.066
large,lightgbm,hyena,Esophagus_Mucosa,1030,no,0.851,-0.283,0.012
large,random forest,hyena,Esophagus_Mucosa,1030,no,0.804,-0.145,-0.049
large,knn,hyena,Esophagus_Mucosa,1030,no,0.776,-0.066,-0.078
large,svm,hyena,Esophagus_Mucosa,1030,no,0.821,-0.195,-0.152
small,xgboost,hyena,Esophagus_Mucosa,17,yes,0.85,-0.404,-0.025
small,lightgbm,hyena,Esophagus_Mucosa,17,yes,0.79,-0.213,0.083
