size,model,embedding,tissue,seed,shuffled,rmse,r2,pcc
small,xgboost,onehot,Esophagus_Mucosa,17,no,0.704,0.144,0.401
small,lightgbm,onehot,Esophagus_Mucosa,17,no,0.814,-0.14,-0.02
small,random forest,onehot,Esophagus_Mucosa,17,no,0.767,-0.01,0.092
small,knn,onehot,Esophagus_Mucosa,17,no,0.77,-0.02,0.023
small,svm,onehot,Esophagus_Mucosa,17,no,0.768,-0.01,0.276
middle,xgboost,onehot,Esophagus_Mucosa,17,no,0.784,-0.05,0.31
middle,lightgbm,onehot,Esophagus_Mucosa,17,no,0.875,-0.31,-0.17
middle,random forest,onehot,Esophagus_Mucosa,17,no,0.807,-0.11,0.164
middle,knn,onehot,Esophagus_Mucosa,17,no,0.827,-0.17,-0.19
middle,svm,onehot,Esophagus_Mucosa,17,no,0.821,-0.15,-0.05
large,xgboost,onehot,Esophagus_Mucosa,17,no,0.792,-0.11,0.118
large,lightgbm,onehot,Esophagus_Mucosa,17,no,0.811,-0.16,-0.14
large,random forest,onehot,Esophagus_Mucosa,17,no,0.762,-0.02,-0.0
large,knn,onehot,Esophagus_Mucosa,17,no,0.775,-0.06,-0.28
large,svm,onehot,Esophagus_Mucosa,17,no,0.756,-0.01,0.0
small,xgboost,onehot,Esophagus_Mucosa,510,no,0.705,0.142,0.398
small,lightgbm,onehot,Esophagus_Mucosa,510,no,0.78,-0.04,0.087
small,random forest,onehot,Esophagus_Mucosa,510,no,0.746,0.04,0.375
small,knn,onehot,Esophagus_Mucosa,510,no,0.768,-0.01,0.076
small,svm,onehot,Esophagus_Mucosa,510,no,0.77,-0.02,0.226
middle,xgboost,onehot,Esophagus_Mucosa,510,no,0.784,-0.05,0.31
middle,lightgbm,onehot,Esophagus_Mucosa,510,no,0.887,-0.35,-0.22
middle,random forest,onehot,Esophagus_Mucosa,510,no,0.827,-0.17,-0.1
middle,knn,onehot,Esophagus_Mucosa,510,no,0.827,-0.17,-0.18
middle,svm,onehot,Esophagus_Mucosa,510,no,0.821,-0.15,-0.05
large,xgboost,onehot,Esophagus_Mucosa,510,no,0.807,-0.15,0.014
large,lightgbm,onehot,Esophagus_Mucosa,510,no,0.811,-0.16,-0.14
large,random forest,onehot,Esophagus_Mucosa,510,no,0.759,-0.02,0.015
large,knn,onehot,Esophagus_Mucosa,510,no,0.775,-0.06,-0.28
large,svm,onehot,Esophagus_Mucosa,510,no,0.756,-0.01,0.0
small,xgboost,onehot,Esophagus_Mucosa,1030,no,0.848,-0.24,-0.04
small,lightgbm,onehot,Esophagus_Mucosa,1030,no,0.814,-0.14,-0.02
small,random forest,onehot,Esophagus_Mucosa,1030,no,0.769,-0.02,0.063
small,knn,onehot,Esophagus_Mucosa,1030,no,0.769,-0.02,0.047
small,svm,onehot,Esophagus_Mucosa,1030,no,0.769,-0.02,0.229
middle,xgboost,onehot,Esophagus_Mucosa,1030,no,0.967,-0.6,-0.3
middle,lightgbm,onehot,Esophagus_Mucosa,1030,no,0.852,-0.24,0.008
middle,random forest,onehot,Esophagus_Mucosa,1030,no,0.851,-0.24,-0.15
middle,knn,onehot,Esophagus_Mucosa,1030,no,0.827,-0.17,-0.19
middle,svm,onehot,Esophagus_Mucosa,1030,no,0.821,-0.15,-0.05
large,xgboost,onehot,Esophagus_Mucosa,1030,no,0.868,-0.33,-0.09
large,lightgbm,onehot,Esophagus_Mucosa,1030,no,0.791,-0.11,-0.07
large,random forest,onehot,Esophagus_Mucosa,1030,no,0.757,-0.01,0.147
large,knn,onehot,Esophagus_Mucosa,1030,no,0.775,-0.06,-0.27
large,svm,onehot,Esophagus_Mucosa,1030,no,0.756,-0.01,0.0
small,xgboost,onehot,Esophagus_Mucosa,17,yes,0.809,-0.27,0.049
small,lightgbm,onehot,Esophagus_Mucosa,17,yes,0.775,-0.16,0.06
small,random forest,onehot,Esophagus_Mucosa,17,yes,0.726,-0.02,0.107
small,knn,onehot,Esophagus_Mucosa,17,yes,0.745,-0.07,-0.15
small,svm,onehot,Esophagus_Mucosa,17,yes,0.733,-0.04,0.124
middle,xgboost,onehot,Esophagus_Mucosa,17,yes,0.742,-0.1,0.275
middle,lightgbm,onehot,Esophagus_Mucosa,17,yes,0.699,0.02,0.348
middle,random forest,onehot,Esophagus_Mucosa,17,yes,0.654,0.143,0.383
middle,knn,onehot,Esophagus_Mucosa,17,yes,0.706,0.001,0.036
middle,svm,onehot,Esophagus_Mucosa,17,yes,0.686,0.056,0.326
large,xgboost,onehot,Esophagus_Mucosa,17,yes,0.824,0.124,0.441
large,lightgbm,onehot,Esophagus_Mucosa,17,yes,0.731,0.31,0.567
large,random forest,onehot,Esophagus_Mucosa,17,yes,0.698,0.07,0.367
large,knn,onehot,Esophagus_Mucosa,17,yes,0.721,0.006,0.15
large,svm,onehot,Esophagus_Mucosa,17,yes,0.678,0.121,0.417
small,xgboost,onehot,Esophagus_Mucosa,510,yes,0.819,-0.18,0.039
small,lightgbm,onehot,Esophagus_Mucosa,510,yes,0.713,0.099,0.33
small,random forest,onehot,Esophagus_Mucosa,510,yes,0.721,0.081,0.288
small,knn,onehot,Esophagus_Mucosa,510,yes,0.752,-0.0,0.015
small,svm,onehot,Esophagus_Mucosa,510,yes,0.715,0.094,0.309
middle,xgboost,onehot,Esophagus_Mucosa,510,yes,0.694,0.049,0.392
