size,model,embedding,tissue,rmse,r2,pcc
small,Transformer,hyena,Heart_Left_Ventricle,0.6214,0.0389,0.1999
small,Transformer,NT,Heart_Left_Ventricle,0.6356,-0.0054,0.0039
small,Transformer,gpn,Heart_Left_Ventricle,0.6244,0.0295,0.2322
small,Transformer,enformer-pca,Heart_Left_Ventricle,0.6142,0.0611,0.3777
small,Transformer,dnabert,Heart_Left_Ventricle,0.6274,0.0202,0.2956
middle,Transformer,hyena,Heart_Left_Ventricle,0.7736,-0.0011,0.1193
middle,Transformer,NT,Heart_Left_Ventricle,0.7812,-0.0209,-0.088
middle,Transformer,gpn,Heart_Left_Ventricle,0.8697,-0.2652,0.2634
middle,Transformer,enformer-pca,Heart_Left_Ventricle,0.8574,-0.2298,0.1995
middle,Transformer,dnabert,Heart_Left_Ventricle,0.7699,0.0083,0.1229
large,Transformer,hyena,Heart_Left_Ventricle,0.6536,-0.231,-0.2723
large,Transformer,NT,Heart_Left_Ventricle,0.5895,-0.0015,-0.0364
large,Transformer,gpn,Heart_Left_Ventricle,0.6348,-0.1614,0.0287
large,Transformer,enformer-pca,Heart_Left_Ventricle,0.7714,-0.7147,0.0796
large,Transformer,dnabert,Heart_Left_Ventricle,0.6066,-0.0606,0.3795
small,Transformer,hyena,Esophagus_Mucosa,0.7705,-0.0236,0.069
small,Transformer,NT,Esophagus_Mucosa,0.8324,-0.1946,-0.1659
small,Transformer,gpn,Esophagus_Mucosa,0.7613,0.0007,0.2514
small,Transformer,enformer-pca,Esophagus_Mucosa,0.8285,-0.1836,0.128
small,Transformer,dnabert,Esophagus_Mucosa,0.7643,-0.0073,-0.2037
middle,Transformer,hyena,Esophagus_Mucosa,0.8197,-0.1516,0.0761
middle,Transformer,NT,Esophagus_Mucosa,0.8114,-0.1285,-0.094
middle,Transformer,gpn,Esophagus_Mucosa,0.8257,-0.1687,-0.0504
middle,Transformer,enformer-pca,Esophagus_Mucosa,0.8847,-0.3418,0.0942
middle,Transformer,dnabert,Esophagus_Mucosa,0.8116,-0.1291,0.2313
large,Transformer,hyena,Esophagus_Mucosa,0.7585,-0.0195,0.0301
large,Transformer,NT,Esophagus_Mucosa,0.7517,-0.0013,0.0528
large,Transformer,gpn,Esophagus_Mucosa,0.7507,0.0014,0.0871
large,Transformer,enformer-pca,Esophagus_Mucosa,0.9059,-0.454,0.0353
large,Transformer,dnabert,Esophagus_Mucosa,0.7534,-0.0058,-0.0307
small,Transformer,hyena,Nerve_Tibial,0.7165,-0.0247,0.1397
small,Transformer,NT,Nerve_Tibial,0.6955,0.0345,0.2992
small,Transformer,gpn,Nerve_Tibial,0.7151,-0.0209,-0.169
small,Transformer,enformer-pca,Nerve_Tibial,0.8991,-0.6135,-0.1916
small,Transformer,dnabert,Nerve_Tibial,0.7145,-0.019,0.1063
middle,Transformer,hyena,Nerve_Tibial,0.8019,-0.0109,0.1768
middle,Transformer,NT,Nerve_Tibial,0.8061,-0.0216,0.2477
middle,Transformer,gpn,Nerve_Tibial,0.8013,-0.0096,0.2036
middle,Transformer,enformer-pca,Nerve_Tibial,0.8916,-0.2497,0.0987
middle,Transformer,dnabert,Nerve_Tibial,0.8025,-0.0126,0.0834
large,Transformer,hyena,Nerve_Tibial,0.7109,-0.0131,0.2036
large,Transformer,NT,Nerve_Tibial,0.7125,-0.0177,0.2058
large,Transformer,gpn,Nerve_Tibial,0.7053,0.0027,0.0644
large,Transformer,enformer-pca,Nerve_Tibial,0.8325,-0.3892,0.0928
large,Transformer,dnabert,Nerve_Tibial,0.7074,-0.003,0.0866
