size,model,embedding,tissue,seed,shuffled,rmse,r2,pcc,pcc_p
small,mlp,NT,CD4,17,no,3.295,0.192,0.057,0.201
small,cnn,NT,CD4,17,no,3.113,0.064,0.131,0.003
small,rnn,NT,CD4,17,no,3.226,0.143,0.05,0.263
small,mlp,NT,CD4,510,no,3.327,0.216,0.006,0.89
small,cnn,NT,CD4,510,no,3.288,0.187,0.018,0.686
small,rnn,NT,CD4,510,no,3.064,0.031,0.033,0.456
small,mlp,NT,CD4,1030,no,3.428,0.29,0.062,0.167
small,cnn,NT,CD4,1030,no,3.088,0.047,0.041,0.355
small,rnn,NT,CD4,1030,no,3.172,0.105,0.097,0.03
small,mlp,NT,mono,17,no,15.78,0.846,0.19,3.839
small,cnn,NT,mono,17,no,12.857,0.226,0.07,0.093
small,rnn,NT,mono,17,no,13.186,0.289,0.035,0.407
small,mlp,NT,mono,510,no,14.171,0.489,0.029,0.481
small,cnn,NT,mono,510,no,12.299,0.122,0.025,0.541
small,rnn,NT,mono,510,no,12.109,0.087,0.016,0.709
small,mlp,NT,mono,1030,no,14.756,0.615,0.169,4.299
small,cnn,NT,mono,1030,no,13.475,0.346,0.061,0.144
small,rnn,NT,mono,1030,no,12.12,0.089,0.019,0.647
small,mlp,NT,CD4,17,yes,2.789,0.235,0.491,1.557
small,cnn,NT,CD4,17,yes,2.096,0.568,0.756,1.171
small,rnn,NT,CD4,17,yes,3.008,0.111,0.358,1.983
small,mlp,NT,CD4,510,yes,2.704,0.243,0.503,6.996
small,cnn,NT,CD4,510,yes,2.3,0.453,0.677,1.917
small,rnn,NT,CD4,510,yes,2.852,0.159,0.434,1.139
small,mlp,NT,CD4,1030,yes,2.968,0.081,0.329,1.703
small,cnn,NT,CD4,1030,yes,2.27,0.463,0.69,2.299
small,rnn,NT,CD4,1030,yes,2.84,0.159,0.421,1.637
small,mlp,NT,mono,17,yes,6.552,0.673,0.824,2.879
small,cnn,NT,mono,17,yes,6.524,0.675,0.825,2.748
small,rnn,NT,mono,17,yes,8.239,0.482,0.713,5.62
small,mlp,NT,mono,510,yes,7.824,0.561,0.767,2.992
small,cnn,NT,mono,510,yes,7.099,0.638,0.81,4.476
small,rnn,NT,mono,510,yes,9.581,0.341,0.617,6.721
small,mlp,NT,mono,1030,yes,6.499,0.696,0.84,9.045
small,cnn,NT,mono,1030,yes,6.102,0.732,0.857,3.826
small,rnn,NT,mono,1030,yes,8.485,0.483,0.7,3.307
