size,model,embedding,tissue,seed,shuffled,rmse,r2,pcc
small,transformer,hyena,CD4,510,yes,2.9867,0.0202,0.1644
small,transformer,hyena,CD4,17,yes,3.0124,0.0032,0.0932
small,transformer,hyena,mono,510,yes,11.4333,0.0307,0.1878
small,transformer,hyena,mono,17,yes,11.4245,0.0322,0.1865
small,transformer,hyena,CD4,1024,yes,2.9913,0.0172,0.1424
small,transformer,hyena,mono,1024,yes,11.4753,0.0236,0.1658
small,transformer,hyena,CD4,510,no,2.3404,0.4378,0.6812
small,transformer,hyena,CD4,17,no,2.643,0.2745,0.5891
small,transformer,hyena,mono,510,no,8.6729,0.5013,0.7126
small,transformer,hyena,mono,17,no,8.7382,0.4182,0.6669
small,transformer,hyena,CD4,1024,no,2.8539,0.2503,0.5331
small,transformer,hyena,mono,1024,no,8.4568,0.4811,0.71
small,transformer,dnabert,CD4,510,yes,2.4288,0.3675,0.6237
small,transformer,dnabert,CD4,17,yes,2.7756,0.1909,0.4385
small,transformer,dnabert,mono,510,yes,7.5307,0.5845,0.772
small,transformer,dnabert,mono,17,yes,7.1217,0.6236,0.7952
small,transformer,dnabert,CD4,1024,yes,2.5706,0.3602,0.6238
small,transformer,dnabert,mono,1024,yes,8.1552,0.5247,0.7417
small,transformer,dnabert,CD4,510,no,3.0117,0.0038,0.1396
small,transformer,dnabert,CD4,17,no,2.985,0.0213,0.1557
small,transformer,dnabert,mono,510,no,11.4143,0.0339,0.1975
small,transformer,dnabert,mono,17,no,11.4309,0.0311,0.1778
small,transformer,dnabert,CD4,1024,no,3.0099,0.0049,0.1388
small,transformer,dnabert,mono,1024,no,11.3898,0.0381,0.1994
small,transformer,NT,CD4,510,yes,2.5479,0.3487,0.6177
small,transformer,NT,CD4,17,yes,2.3327,0.4297,0.699
small,transformer,NT,mono,510,yes,7.3675,0.5978,0.7788
small,transformer,NT,mono,17,yes,8.5398,0.5054,0.7168
small,transformer,NT,CD4,1024,yes,2.3974,0.4366,0.6931
small,transformer,NT,mono,1024,yes,7.3772,0.6129,0.79
small,transformer,NT,CD4,510,no,3.0139,0.0023,0.1525
small,transformer,NT,CD4,17,no,3.0105,0.0046,0.1597
small,transformer,NT,mono,510,no,11.627,-0.0024,0.0053
small,transformer,NT,mono,17,no,11.604,0.0015,0.1173
small,transformer,NT,CD4,1024,no,3.0044,0.0086,0.1618
small,transformer,NT,mono,1024,no,11.5913,0.0037,0.0892
small,transformer,gpn,CD4,510,yes,2.3906,0.4245,0.6724
small,transformer,gpn,CD4,17,yes,2.6295,0.2542,0.5125
small,transformer,gpn,mono,510,yes,7.7122,0.5734,0.7729
small,transformer,gpn,mono,17,yes,7.4104,0.6081,0.7911
small,transformer,gpn,CD4,1024,yes,2.1946,0.5172,0.7413
small,transformer,gpn,mono,1024,yes,6.5879,0.6833,0.833
small,transformer,gpn,CD4,510,no,3.0109,0.0042,0.0753
small,transformer,gpn,CD4,17,no,3.0159,0.0009,0.103
small,transformer,gpn,mono,510,no,11.3501,0.0447,0.2613
small,transformer,gpn,mono,17,no,11.1646,0.0757,0.3077
small,transformer,gpn,CD4,1024,no,3.0196,-0.0015,0.1227
small,transformer,gpn,mono,1024,no,11.6481,-0.0061,-0.0974
small,transformer,enformer-pca,CD4,510,yes,2.2102,0.5251,0.7405
small,transformer,enformer-pca,CD4,17,yes,2.2432,0.4986,0.7361
small,transformer,enformer-pca,mono,510,yes,7.0464,0.6424,0.8069
small,transformer,enformer-pca,mono,17,yes,6.1484,0.7234,0.8519
small,transformer,enformer-pca,CD4,1024,yes,2.344,0.4557,0.7121
small,transformer,enformer-pca,mono,1024,yes,7.5966,0.5805,0.7684
small,transformer,enformer-pca,CD4,510,no,3.9046,-0.6746,-0.0592
small,transformer,enformer-pca,CD4,17,no,3.8603,-0.6368,-0.0622
small,transformer,enformer-pca,mono,510,no,12.5306,-0.1643,0.0989
small,transformer,enformer-pca,mono,17,no,12.9949,-0.2522,0.0706
small,transformer,enformer-pca,CD4,1024,no,3.8273,-0.6089,-0.0187
small,transformer,enformer-pca,mono,1024,no,12.0337,-0.0738,0.2331
