size,model,embedding,tissue,seed,shuffled,rmse,r2,pcc,pcc_p
small,mlp,dnabert2,CD4,17,no,3.567,0.398,0.059,0.187
small,cnn,dnabert2,CD4,17,no,2.997,0.014,0.121,0.007
small,rnn,dnabert2,CD4,17,no,3.011,0.004,0.081,0.068
small,mlp,dnabert2,CD4,510,no,3.069,0.034,0.015,0.736
small,cnn,dnabert2,CD4,510,no,3.021,0.003,0.122,0.006
small,rnn,dnabert2,CD4,510,no,3.015,0.001,0.095,0.032
small,mlp,dnabert2,CD4,1030,no,3.122,0.071,0.085,0.055
small,cnn,dnabert2,CD4,1030,no,3,0.011,0.12,0.007
small,rnn,dnabert2,CD4,1030,no,3.001,0.011,0.106,0.017
small,mlp,dnabert2,mono,17,no,14.959,0.659,0.076,0.069
small,cnn,dnabert2,mono,17,no,11.555,0.01,0.188,5.103
small,rnn,dnabert2,mono,17,no,11.569,0.008,0.161,9.946
small,mlp,dnabert2,mono,510,no,14.294,0.515,0.04,0.338
small,cnn,dnabert2,mono,510,no,11.509,0.018,0.184,8.37
small,rnn,dnabert2,mono,510,no,11.529,0.014,0.186,6.571
small,mlp,dnabert2,mono,1030,no,14.376,0.533,0.019,0.645
small,cnn,dnabert2,mono,1030,no,11.683,0.012,0.016,0.7
small,rnn,dnabert2,mono,1030,no,11.819,0.036,0.02,0.635
small,mlp,dnabert2,CD4,17,yes,3.099,0.056,0.237,1.752
small,cnn,dnabert2,CD4,17,yes,3.178,0.007,0.181,0
small,rnn,dnabert2,CD4,17,yes,3.142,0.03,0.183,0
small,mlp,dnabert2,CD4,510,yes,3.101,0.005,0.084,0.094
small,cnn,dnabert2,CD4,510,yes,3.108,0,0.067,0.183
small,rnn,dnabert2,CD4,510,yes,3.108,0,0.079,0.114
small,mlp,dnabert2,CD4,1030,yes,3.037,0.038,0.196,8.533
small,cnn,dnabert2,CD4,1030,yes,2.932,0.103,0.324,3.56
small,rnn,dnabert2,CD4,1030,yes,3.073,0.015,0.166,0.001
small,mlp,dnabert2,mono,17,yes,9.541,0.306,0.557,3.344
small,cnn,dnabert2,mono,17,yes,7.944,0.519,0.724,1.479
small,rnn,dnabert2,mono,17,yes,11.153,0.051,0.261,2.769
small,mlp,dnabert2,mono,510,yes,9.546,0.346,0.602,9.182
small,cnn,dnabert2,mono,510,yes,9.14,0.401,0.634,7.271
small,rnn,dnabert2,mono,510,yes,11.47,0.056,0.262,2.539
small,mlp,dnabert2,mono,1030,yes,10.351,0.23,0.492,6.27
small,cnn,dnabert2,mono,1030,yes,7.867,0.555,0.748,5.507
small,rnn,dnabert2,mono,1030,yes,11.305,0.082,0.314,5.688
