size,model,embedding,tissue,seed,shuffled,rmse,r2,pcc,pcc_p
small,mlp,gpn,CD4,17,no,3.161,0.097,0.026,0.561
small,cnn,gpn,CD4,17,no,3.012,0.004,0.086,0.052
small,rnn,gpn,CD4,17,no,3.069,0.034,0.009,0.837
middle,mlp,gpn,CD4,17,no,,,,
middle,cnn,gpn,CD4,17,no,,,,
middle,rnn,gpn,CD4,17,no,,,,
small,mlp,gpn,CD4,510,no,3.036,0.012,0.042,0.345
small,cnn,gpn,CD4,510,no,3.017,0.0,0.115,0.01
small,rnn,gpn,CD4,510,no,3.071,0.036,0.011,0.803
middle,mlp,gpn,CD4,510,no,,,,
middle,cnn,gpn,CD4,510,no,,,,
middle,rnn,gpn,CD4,510,no,,,,
small,mlp,gpn,CD4,1030,no,3.131,0.077,0.055,0.219
small,cnn,gpn,CD4,1030,no,3.022,0.003,0.033,0.464
small,rnn,gpn,CD4,1030,no,3.022,0.003,0.024,0.597
middle,mlp,gpn,CD4,1030,no,,,,
middle,cnn,gpn,CD4,1030,no,,,,
middle,rnn,gpn,CD4,1030,no,,,,
small,mlp,gpn,mono,17,no,14.337,0.524,0.047,0.258
small,cnn,gpn,mono,17,no,11.931,0.056,0.024,0.567
small,rnn,gpn,mono,17,no,11.86,0.043,0.013,0.76
middle,mlp,gpn,mono,17,no,,,,
middle,cnn,gpn,mono,17,no,,,,
middle,rnn,gpn,mono,17,no,,,,
small,mlp,gpn,mono,510,no,12.143,0.093,0.013,0.763
small,cnn,gpn,mono,510,no,11.855,0.042,0.065,0.118
small,rnn,gpn,mono,510,no,12.105,0.087,0.027,0.51
middle,mlp,gpn,mono,510,no,,,,
middle,cnn,gpn,mono,510,no,,,,
middle,rnn,gpn,mono,510,no,,,,
small,mlp,gpn,mono,1030,no,11.856,0.042,0.027,0.514
small,cnn,gpn,mono,1030,no,11.918,0.053,0.063,0.128
small,rnn,gpn,mono,1030,no,12.361,0.133,0.036,0.382
middle,mlp,gpn,mono,1030,no,,,,
middle,cnn,gpn,mono,1030,no,,,,
middle,rnn,gpn,mono,1030,no,,,,
small,mlp,gpn,CD4,17,yes,3.148,0.026,0.186,0.0
small,cnn,gpn,CD4,17,yes,2.684,0.292,0.541,1.448
small,rnn,gpn,CD4,17,yes,3.154,0.022,0.228,4.553
middle,mlp,gpn,CD4,17,yes,,,,
middle,cnn,gpn,CD4,17,yes,,,,
middle,rnn,gpn,CD4,17,yes,,,,
small,mlp,gpn,CD4,510,yes,3.062,0.03,0.183,0.0
small,cnn,gpn,CD4,510,yes,2.678,0.258,0.509,1.662
small,rnn,gpn,CD4,510,yes,3.053,0.036,0.196,8.119
middle,mlp,gpn,CD4,510,yes,,,,
middle,cnn,gpn,CD4,510,yes,,,,
middle,rnn,gpn,CD4,510,yes,,,,
small,mlp,gpn,CD4,1030,yes,3.048,0.031,0.205,3.721
small,cnn,gpn,CD4,1030,yes,2.69,0.245,0.502,9.83
small,rnn,gpn,CD4,1030,yes,3.075,0.014,0.2,6.174
middle,mlp,gpn,CD4,1030,yes,,,,
middle,cnn,gpn,CD4,1030,yes,,,,
middle,rnn,gpn,CD4,1030,yes,,,,
small,mlp,gpn,mono,17,yes,9.067,0.373,0.617,5.345
small,cnn,gpn,mono,17,yes,8.367,0.466,0.69,2.713
small,rnn,gpn,mono,17,yes,10.667,0.132,0.379,1.368
middle,mlp,gpn,mono,17,yes,,,,
middle,cnn,gpn,mono,17,yes,,,,
middle,rnn,gpn,mono,17,yes,,,,
small,mlp,gpn,mono,510,yes,11.126,0.112,0.355,2.496
small,cnn,gpn,mono,510,yes,8.742,0.452,0.674,9.601
small,rnn,gpn,mono,510,yes,11.135,0.111,0.351,5.098
middle,mlp,gpn,mono,510,yes,,,,
middle,cnn,gpn,mono,510,yes,,,,
middle,rnn,gpn,mono,510,yes,,,,
small,mlp,gpn,mono,1030,yes,8.436,0.489,0.707,3.862
small,cnn,gpn,mono,1030,yes,9.137,0.4,0.635,3.881
small,rnn,gpn,mono,1030,yes,11.563,0.039,0.242,4.279
middle,mlp,gpn,mono,1030,yes,,,,
middle,cnn,gpn,mono,1030,yes,,,,
middle,rnn,gpn,mono,1030,yes,,,,
