size,model,embedding,tissue,seed,shuffled,rmse,r2,pcc,pcc_p
small,mlp,hyena,CD4,17,no,3.015,0.001,0.084,0.06
small,cnn,hyena,CD4,17,no,3.012,0.004,0.103,0.021
small,rnn,hyena,CD4,17,no,3.006,0.007,0.112,0.012
small,mlp,hyena,CD4,510,no,3.014,0.002,0.136,0.002
small,cnn,hyena,CD4,510,no,2.999,0.012,0.119,0.007
small,rnn,hyena,CD4,510,no,3.013,0.003,0.127,0.004
small,mlp,hyena,CD4,1030,no,2.992,0.017,0.131,0.003
small,cnn,hyena,CD4,1030,no,3.006,0.007,0.097,0.03
small,rnn,hyena,CD4,1030,no,2.999,0.012,0.127,0.004
small,mlp,hyena,mono,17,no,12.835,0.222,0.112,0.007
small,cnn,hyena,mono,17,no,11.698,0.015,0.006,0.881
small,rnn,hyena,mono,17,no,11.51,0.018,0.16,0
small,mlp,hyena,mono,510,no,11.575,0.006,0.124,0.003
small,cnn,hyena,mono,510,no,11.727,0.02,0.052,0.207
small,rnn,hyena,mono,510,no,11.575,0.007,0.156,0
small,mlp,hyena,mono,1030,no,11.884,0.047,0.005,0.904
small,cnn,hyena,mono,1030,no,11.657,0.008,0.035,0.402
small,rnn,hyena,mono,1030,no,11.562,0.009,0.162,8.525
small,mlp,hyena,CD4,17,yes,3.137,0.033,0.195,9.595
small,cnn,hyena,CD4,17,yes,3.165,0.015,0.159,0.001
small,rnn,hyena,CD4,17,yes,3.173,0.01,0.151,0.003
small,mlp,hyena,CD4,510,yes,3.093,0.01,0.101,0.044
small,cnn,hyena,CD4,510,yes,3.052,0.036,0.194,0
small,rnn,hyena,CD4,510,yes,3.11,0.001,0.028,0.572
small,mlp,hyena,CD4,1030,yes,3.076,0.013,0.116,0.021
small,cnn,hyena,CD4,1030,yes,3.01,0.055,0.257,2.071
small,rnn,hyena,CD4,1030,yes,3.099,0.001,0.058,0.251
small,mlp,hyena,mono,17,yes,9.565,0.302,0.555,8.135
small,cnn,hyena,mono,17,yes,11.086,0.063,0.303,4.11
small,rnn,hyena,mono,17,yes,11.573,0.022,0.092,0.039
small,mlp,hyena,mono,510,yes,11.702,0.018,0.14,0.002
small,cnn,hyena,mono,510,yes,11.701,0.018,0.189,2.066
small,rnn,hyena,mono,510,yes,11.866,0.01,0.057,0.206
small,mlp,hyena,mono,1030,yes,11.638,0.027,0.169,0
small,cnn,hyena,mono,1030,yes,11.531,0.044,0.226,3.128
small,rnn,hyena,mono,1030,yes,11.763,0.006,0.18,4.809
