size,model,embedding,tissue,seed,shuffled,rmse,r2,pcc,pcc_p
small,mlp,onehot,CD4,17,no,2.98,0.024,0.195,1.021
small,cnn,onehot,CD4,17,no,2.933,0.055,0.236,8.155
small,rnn,onehot,CD4,17,no,7.347,4.929,0.101,0.023
small,mlp,onehot,CD4,510,no,3.023,0.004,0.123,0.006
small,cnn,onehot,CD4,510,no,2.984,0.022,0.169,0
small,rnn,onehot,CD4,510,no,3.047,0.02,0.197,7.968
small,mlp,onehot,CD4,1030,no,2.993,0.016,0.168,0
small,cnn,onehot,CD4,1030,no,3.187,0.116,0,0
small,rnn,onehot,CD4,1030,no,3.187,0.116,0,0
small,mlp,onehot,mono,17,no,11.667,0.009,0.078,0.061
small,cnn,onehot,mono,17,no,12.156,0.096,0.137,0.001
small,rnn,onehot,mono,17,no,12.069,0.08,0.06,0.146
small,mlp,onehot,mono,510,no,11.854,0.042,0,0.998
small,cnn,onehot,mono,510,no,11.809,0.034,0.02,0.629
small,rnn,onehot,mono,510,no,12.328,0.127,0.116,0.005
small,mlp,onehot,mono,1030,no,11.782,0.029,0.024,0.558
small,cnn,onehot,mono,1030,no,11.765,0.026,0.03,0.473
small,rnn,onehot,mono,1030,no,83.44,50.626,0.112,0.007
small,mlp,onehot,CD4,17,yes,2.051,0.587,0.776,3.694
small,cnn,onehot,CD4,17,yes,1.881,0.652,0.81,1.275
small,rnn,onehot,CD4,17,yes,21.614,44.914,0.122,0.015
small,mlp,onehot,CD4,510,yes,2.082,0.552,0.744,3.96
small,cnn,onehot,CD4,510,yes,2.121,0.534,0.742,1.125
small,rnn,onehot,CD4,510,yes,47.044,227.995,0.005,0.924
small,mlp,onehot,CD4,1030,yes,2.044,0.564,0.761,2.842
small,cnn,onehot,CD4,1030,yes,2.099,0.541,0.747,6.072
small,rnn,onehot,CD4,1030,yes,161.081,2705.037,0.008,0.867
small,mlp,onehot,mono,17,yes,5.507,0.769,0.878,3.576
small,cnn,onehot,mono,17,yes,5.565,0.764,0.874,9.159
small,rnn,onehot,mono,17,yes,26.661,4.423,0.266,1.36
small,mlp,onehot,mono,510,yes,11.126,0.112,0.355,2.496
small,cnn,onehot,mono,510,yes,6.352,0.711,0.843,7.036
small,rnn,onehot,mono,510,yes,33.74,7.167,0.257,4.819
small,mlp,onehot,mono,1030,yes,4.941,0.825,0.911,6.156
small,cnn,onehot,mono,1030,yes,5.11,0.812,0.903,3.862
small,rnn,onehot,mono,1030,yes,49.46,16.582,0.068,0.126
