size,model,embedding,tissue,seed,shuffled,rmse,r2,pcc
small,xgboost,hyena,CD4,17,no,3.397,-0.26,-0.02
small,lightgbm,hyena,CD4,17,no,3.439,-0.29,-0.15
small,random forest,hyena,CD4,17,no,3.135,-0.08,-0.08
small,knn,hyena,CD4,17,no,3.173,-0.1,-0.11
small,svm,hyena,CD4,17,no,3.021,-0.0,0.038
small,xgboost,hyena,CD4,510,no,3.399,-0.26,-0.06
small,lightgbm,hyena,CD4,510,no,3.439,-0.29,-0.15
small,random forest,hyena,CD4,510,no,3.159,-0.09,-0.09
small,knn,hyena,CD4,510,no,3.173,-0.1,-0.11
small,svm,hyena,CD4,510,no,3.023,-0.0,0.029
small,xgboost,hyena,CD4,1030,no,3.513,-0.35,-0.05
small,lightgbm,hyena,CD4,1030,no,3.471,-0.32,-0.16
small,random forest,hyena,CD4,1030,no,3.144,-0.08,-0.05
small,knn,hyena,CD4,1030,no,3.173,-0.1,-0.11
small,svm,hyena,CD4,1030,no,3.021,-0.0,0.038
small,xgboost,hyena,CD4,17,yes,2.042,0.56,0.758
small,lightgbm,hyena,CD4,17,yes,1.925,0.609,0.78
small,random forest,hyena,CD4,17,yes,2.27,0.456,0.707
small,knn,hyena,CD4,17,yes,3.055,0.015,0.139
small,svm,hyena,CD4,17,yes,1.936,0.604,0.782
small,xgboost,hyena,CD4,510,yes,2.276,0.49,0.721
small,lightgbm,hyena,CD4,510,yes,2.044,0.588,0.767
small,random forest,hyena,CD4,510,yes,2.364,0.449,0.702
small,knn,hyena,CD4,510,yes,3.181,0.003,0.123
small,svm,hyena,CD4,510,yes,2.081,0.573,0.767
small,xgboost,hyena,CD4,1030,yes,2.019,0.571,0.765
small,lightgbm,hyena,CD4,1030,yes,2.009,0.575,0.759
small,random forest,hyena,CD4,1030,yes,2.295,0.446,0.703
small,knn,hyena,CD4,1030,yes,3.062,0.014,0.155
small,svm,hyena,CD4,1030,yes,2.007,0.576,0.763
small,xgboost,hyena,mono,17,no,14.51,-0.56,-0.1
small,lightgbm,hyena,mono,17,no,12.8,-0.21,-0.02
small,random forest,hyena,mono,17,no,12.8,-0.21,-0.15
small,knn,hyena,mono,17,no,12.05,-0.07,-0.01
small,svm,hyena,mono,17,no,11.7,-0.01,-0.09
small,xgboost,hyena,mono,510,no,13.12,-0.27,-0.03
small,lightgbm,hyena,mono,510,no,12.8,-0.21,-0.02
small,random forest,hyena,mono,510,no,12.85,-0.22,-0.2
small,knn,hyena,mono,510,no,12.05,-0.07,-0.01
small,svm,hyena,mono,510,no,11.7,-0.01,-0.09
small,xgboost,hyena,mono,1030,no,13.12,-0.27,-0.03
small,lightgbm,hyena,mono,1030,no,12.71,-0.19,-0.02
small,random forest,hyena,mono,1030,no,12.43,-0.14,-0.08
small,knn,hyena,mono,1030,no,12.05,-0.07,-0.01
small,svm,hyena,mono,1030,no,11.7,-0.01,-0.09
small,xgboost,hyena,mono,17,yes,6.056,0.738,0.861
small,lightgbm,hyena,mono,17,yes,5.983,0.744,0.863
small,random forest,hyena,mono,17,yes,7.207,0.629,0.818
small,knn,hyena,mono,17,yes,11.41,0.07,0.271
small,svm,hyena,mono,17,yes,5.885,0.752,0.869
small,xgboost,hyena,mono,510,yes,6.697,0.678,0.827
small,lightgbm,hyena,mono,510,yes,6.699,0.678,0.823
small,random forest,hyena,mono,510,yes,7.469,0.599,0.793
small,knn,hyena,mono,510,yes,11.44,0.06,0.248
small,svm,hyena,mono,510,yes,6.696,0.678,0.827
small,xgboost,hyena,mono,1030,yes,5.05,0.816,0.904
small,lightgbm,hyena,mono,1030,yes,5.529,0.78,0.885
small,random forest,hyena,mono,1030,yes,6.765,0.671,0.85
small,knn,hyena,mono,1030,yes,11.45,0.056,0.243
small,svm,hyena,mono,1030,yes,4.843,0.831,0.912
